longname,"Agriculture, forestry, fishing and hunting %","Mining, quarrying, and oil and gas extraction %",Accommodation and food services %,"Arts, entertainment, and recreation %",Construction %,Educational services %,Health care and social assistance %,Finance and insurance %,Real estate and rental and leasing %,Information %,Manufacturing %,"Other services, except public administration %",Administrative and support and waste management services %,Management of companies and enterprises %,"Professional, scientific, and technical services %",Public administration %,Retail trade %,Transportation and warehousing %,Utilities %,Wholesale trade %
"District of Nevada, NV, USA",0.0038755426758331755,0.010024643780629857,0.13828691788327627,0.0787233846998993,0.07471402687081856,0.06795491255061997,0.09932134936729602,0.03273784226419512,0.024862441985573656,0.015203678714976281,0.04983099169255179,0.045507545514133524,0.05558217947302219,0.0011857481652594282,0.05887956685863734,0.042977949428246745,0.11477552550203489,0.05891734290638012,0.006780800569828695,0.019857609096787097
"Middle District of North Carolina, NC, USA",0.008201379368502413,0.0012199043814229008,0.06897888996452106,0.01619543687424973,0.06861165945091544,0.1051880269476204,0.1517628324814276,0.04431979452005308,0.015303057331850492,0.01310792102392714,0.13357348764294558,0.049809256858700114,0.04236038758624031,0.0013917319418687915,0.06112547243797935,0.035355577463642984,0.10877620792067419,0.042714844959909806,0.006828184839793758,0.025175946003754557
"Northern District of Alabama, AL, USA",0.007645332532316493,0.0039916905937578216,0.06759453523312137,0.012140323244417692,0.06939712639077665,0.0873620056075266,0.13912498527539377,0.043117804141495165,0.014334613385481346,0.01485045167481073,0.14587375216828838,0.04829412982595506,0.03728420112063662,0.0010398014438938144,0.06458254960253705,0.05052087442750125,0.11404816003759276,0.03850578941322365,0.015388749105583297,0.024903124775690656
"District of Kansas, KS, USA",0.026025778228898316,0.00530748522978646,0.06237484622980301,0.017705638332496675,0.06393116611594411,0.10509537889528181,0.14289664436194333,0.04998014088935717,0.013942061044699548,0.017194679964915572,0.12365537271689182,0.044068607710851346,0.03297646695388825,0.001128797365357988,0.06282236577171953,0.04652548310044848,0.10552152231115916,0.042611583377924395,0.009846119474616196,0.026389861924016836
"Eastern District of Missouri, MO, USA",0.011773962995311952,0.0025006211083952036,0.06317006686856502,0.019382804763637466,0.06342062164328742,0.09533609178187377,0.1508762027157041,0.061653365914838124,0.016811099294997984,0.017926631086950248,0.11939075776631826,0.04726969195135015,0.03588352581242034,0.0025231428858983407,0.06488735240317924,0.03787529551035403,0.11039330765381494,0.043044747252870996,0.0080346441242442,0.027846066465988244
"Western District of New York, NY, USA",0.010727175061053402,0.0016645965900035685,0.065869470393219,0.019499032893914203,0.05476271951814997,0.1236582621668893,0.16382800606388456,0.04698882847821425,0.014700189614641573,0.016689855497753873,0.12126014154373613,0.043669448763108965,0.036348666900142615,0.0009717079017180191,0.06167659955291322,0.04312518991818282,0.11074995386394883,0.03604876201752871,0.007072128991032919,0.020689264269964286
"Eastern District of Tennessee, TN, USA",0.008736883261369122,0.0021285541160496538,0.07990733451398617,0.01558364151239007,0.07170553494089225,0.08551795506984872,0.13953382467496683,0.04254615779972786,0.015845182656719595,0.01342799786696184,0.14870863807112897,0.047340877784813815,0.04362458541497755,0.0013932807387257102,0.049956872275628186,0.035095497469765986,0.12002292365268596,0.0454912534913948,0.012077603677012962,0.021355401010953803
"Middle District of Tennessee, TN, USA",0.006986312577274184,0.0010612894667020429,0.07529497042076151,0.021725849356535914,0.0686137403342756,0.08360483636032766,0.1415452772236423,0.047113453220302436,0.019488577757421955,0.020153795218539227,0.11528371524716652,0.047793198419076297,0.04225965960746053,0.003735157813284928,0.06562102637701926,0.042896586211036036,0.11167089627730546,0.05195424833103056,0.006981724870645789,0.02621568491019182
"Northern District of Indiana, IN, USA",0.011243329577473897,0.0009513586565554835,0.06543116673591028,0.01528074375716348,0.061616840907290624,0.09728026201565175,0.13705546008739244,0.031800597812117574,0.013102399169723354,0.012265009562084032,0.22433796915237741,0.04653897822302046,0.03221201799579365,0.0004744668915871443,0.04057055654077263,0.028112365399320067,0.1059370599865177,0.04624395196164174,0.007259262612170601,0.022286202955435677
"Western District of Wisconsin, WI, USA",0.02758107599185456,0.0021825107983186377,0.06188006480661517,0.01701025388698586,0.06320225846355383,0.09401838697438303,0.15054988015885196,0.048064943382305145,0.012231059348287424,0.017182615900503267,0.15491080474199317,0.04125889311865784,0.026193949925887843,0.00126634635961842,0.05724398458149289,0.039843792202590676,0.11348945663938341,0.03888428349898674,0.007415452501087192,0.02558998671864281
