longname,Commute Car %,Commute Bike %,Commute Walk %,Commute Transit %,Commute Work From Home %,Commute Time < 15 min %,Commute Time 15 - 29 min %,Commute Time 30 - 59 min %,Commute Time > 60 min %
"WV-SD012, USA",0.8995805897846856,0.004373303626712731,0.027818175314715907,0.003349764480035283,0.04652424891365717,0.27254725317052636,0.42159658098678116,0.2265396200106896,0.07931654583200294
"WV-SD004, USA",0.9232926816668423,0.0,0.01553006042480088,0.0,0.05609342646884797,0.23934385336294856,0.33772822591858964,0.34539080671412964,0.07753711400433212
"CT-SD032, USA",0.8582935178774558,0.0009232087622431566,0.019000477247691445,0.011405029850537261,0.10032938598724078,0.24759133413553583,0.3106054957250294,0.3332076993434714,0.10859547079596343
"CT-SD027, USA",0.7027066481253385,0.00549938424737358,0.06038796772713967,0.11516659357077519,0.10311715170095584,0.2675770939168386,0.37590455411339607,0.22268028886831404,0.1338380631014512
"CT-SD028, USA",0.726832424710652,0.0015851840552890668,0.019893454456386822,0.0734942677308534,0.16325985385853115,0.23005349403021655,0.2930024840070928,0.2928948969873696,0.18404912497532094
"CT-SD029, USA",0.7924136303390326,0.0037172282901154884,0.07379853226816852,0.015057924768433928,0.10644415810618668,0.3496365909121306,0.30175060477418236,0.25273272624922527,0.09588007806446185
"CT-SD030, USA",0.8465262533616658,0.0013983527229275228,0.021673367180791915,0.01491834790944117,0.11033089197673304,0.27923309858231543,0.3224589707826661,0.2541768082488736,0.14413112238614476
"WV-SD002, USA",0.9073545856988322,0.0008452526581418676,0.019688137617802238,0.0012099431589595768,0.06288929520538286,0.2419405721604608,0.3644409786787086,0.30285495213775215,0.09076349702307851
"CT-SD015, USA",0.8597656842278202,2.1527135597592907e-05,0.029094702838231293,0.035064548137386145,0.05918195329625528,0.29743680751035356,0.3391042881354617,0.2684049662692307,0.0950539380849541
"CT-SD036, USA",0.6225115665256763,0.0006254805703125481,0.026170813433217477,0.14284430392640066,0.20057141157642377,0.23907507471854955,0.356308274510258,0.18748484971002197,0.21713180106117053
"CT-SD024, USA",0.8446739241839157,0.0007855184353176566,0.015541712120955882,0.03241554406545639,0.0994247474584577,0.26534682633430823,0.310779024097519,0.26695638558195356,0.15691776398621932
"CT-SD021, USA",0.866721213875221,0.0002823810512483706,0.007637728889914975,0.026867910390619566,0.09457852665922106,0.2067421462297962,0.38721788697777076,0.27657996397066464,0.12946000282176842
"WV-SD001, USA",0.8966656069198272,0.0018763527272118315,0.03324805503218038,0.00883258722809472,0.04976911197177724,0.3682619746981757,0.3372625448354149,0.2248577952881749,0.06961768517823448
"CT-SD004, USA",0.8541932049356428,0.0015400117877445482,0.01289046903815807,0.015248017947791698,0.11354259748654866,0.25046648793565685,0.46921179624664877,0.2396353887399464,0.04068632707774799
"CT-SD016, USA",0.8859061745520357,0.0028010299843260335,0.010733724323387508,0.005185982836152236,0.0908082853806139,0.24947856520885184,0.3828217973235026,0.316228103044978,0.0514715344226675
"CT-SD026, USA",0.6261188711236397,0.0005678226307961814,0.017311637053865958,0.11588841953060826,0.23217776812005508,0.20841540446916337,0.2959566633615609,0.2857292822666809,0.2098986499025948
"WV-SD011, USA",0.8755389245912307,0.0020065620000542313,0.03340654573063261,0.0003525041351446623,0.05181810786626535,0.35478151452756806,0.2969858156028369,0.2438229238160604,0.10440974605353466
"WV-SD014, USA",0.8943238461012697,0.0002171348171603356,0.02712133494317423,0.0037877962549080764,0.06943515663482197,0.3051213788553204,0.3071112228979077,0.28196313392599776,0.10580426432077435
"CT-SD025, USA",0.7578893335777742,0.0022744228108670926,0.02850505512346147,0.08476674566079696,0.1180783025172411,0.29300572123428176,0.3304954620845974,0.25840116459570095,0.11809765208541978
"WV-SD008, USA",0.882613266208436,0.00032466773602665456,0.030568716068971165,0.019904629662557204,0.05597375031868627,0.27116236813157246,0.4381387331483176,0.214346080739694,0.07635281798041596
"CT-SD009, USA",0.8345524342844427,0.002617571135583293,0.03194732811892649,0.011060585931406262,0.10280462589771176,0.29913045859490844,0.45448270318522344,0.21795876734850012,0.028428070871368005
"CT-SD007, USA",0.8715805463497559,0.0020591096098131435,0.008101976143757388,0.006059665423164394,0.10592332080550731,0.2681545454461521,0.36867932646276,0.3036333788969401,0.05953274919414775
"CT-SD022, USA",0.8266154204985311,0.0009171932797574665,0.015100243957903488,0.0522454353114622,0.09093512224530807,0.23679924493031337,0.33471967821134974,0.2916177923109892,0.13686328454734753
"CT-SD017, USA",0.8719725219469303,0.0025775881447371433,0.013138075758440474,0.019949390087930893,0.08415521681389077,0.2035711367754186,0.38636663272778476,0.3209105318059786,0.08915169869081804
"WV-SD007, USA",0.9127085438689247,0.001761235394913201,0.02644388312973813,0.005924435577846809,0.050027640164912235,0.24364629060040438,0.3221725702997482,0.32244753363612155,0.1117336054637258
"WV-SD017, USA",0.897296728952858,0.0011807087993800302,0.024640322870347266,0.01556968663242517,0.05759507274094723,0.31515634864022035,0.4600326774488638,0.18378067446106897,0.04103029944984686
"CT-SD003, USA",0.8439055459980643,0.0015048217266575635,0.006926038459872632,0.027163652390230757,0.11449994710478359,0.23526020289040966,0.47529131685528214,0.25599713158718385,0.033451348667124486
"CT-SD031, USA",0.8937734419936384,0.0012580634383183038,0.017570087470754028,0.010871921355019371,0.06743093008055637,0.26636498065581327,0.3852670315008519,0.28798321233716745,0.060384775506167464
"CT-SD023, USA",0.8096847158110871,0.0028853257345751535,0.03631540485644507,0.10767980113998728,0.031578864939566686,0.25202871019599604,0.35022304098184476,0.26297537731653525,0.13477287150562406
"CT-SD018, USA",0.8395799740433397,0.004640736225272348,0.033625673496676764,0.006469500924214418,0.10982420261926298,0.31474077183061255,0.406127813735669,0.21617442399876294,0.06295699043495549
"CT-SD005, USA",0.8144793409376259,0.00252675865606785,0.014283298603382325,0.015410900855720283,0.1475051712587013,0.2835513472633025,0.4429240625755393,0.22040860711379487,0.05311598304736324
"CT-SD019, USA",0.9004378885265293,0.00261014292341749,0.007971601192657165,0.012990013618868437,0.0720852561864378,0.22037387949650425,0.4147204835641042,0.30222140236467826,0.06268423457471328
"CT-SD013, USA",0.8622707130664455,0.002651538988697246,0.03001095622505417,0.017000481541423126,0.07939982810397939,0.2649858823536101,0.40912588844868003,0.28214578974274745,0.04374243945496241
"CT-SD008, USA",0.8362128076886952,0.004153180168241483,0.014842176361148268,0.008397366006270144,0.12899823939305408,0.24519397080480024,0.30559118305086536,0.3606258847734213,0.08858896137091309
"CT-SD033, USA",0.8482005061510137,0.002683921990468619,0.01826898488581146,0.011422285396448203,0.11208913112991739,0.2345321776828456,0.27127816927837206,0.41616505511452917,0.07802459792425323
"CT-SD006, USA",0.8622779760442382,0.003446930910835072,0.027063616746025598,0.024253158994040958,0.07212798266063837,0.33335121229889686,0.410286309466195,0.22066724321251358,0.03569523502239455
"CT-SD035, USA",0.892316084437136,0.0003716478533890096,0.00614196978758679,0.0076288745258415785,0.08665615790168192,0.17996864463455253,0.3784719292760803,0.3688512027887002,0.07270822330066688
"CT-SD012, USA",0.8360402171763731,0.0033314218486010516,0.010219664633560726,0.015162864046072333,0.1293521435947446,0.22955763431438783,0.40968443399048965,0.2858909733298008,0.07486695836532171
"CT-SD010, USA",0.7340788935541227,0.009794124446468468,0.09321618163015509,0.07811320151395638,0.07085541709751639,0.31646974882522455,0.4122275816097344,0.20120633305729282,0.0700963365077483
"CT-SD034, USA",0.8842972455020269,0.0012617275679707779,0.01646259256973243,0.011024539001411154,0.08070533978414626,0.26817542558629126,0.42269477706208314,0.2469313152302238,0.06219848212140173
"CT-SD020, USA",0.8346900572849608,0.0034777015456075745,0.03632517160771518,0.017692660144211083,0.10089698196061006,0.3102144547599738,0.42891111225715267,0.19357964259458907,0.06729479038828434
"CT-SD002, USA",0.7860831177396451,0.002851054456515371,0.03460571285618772,0.08659357443229122,0.0807874666280022,0.2548476695088993,0.499497069650276,0.1949537004695734,0.050701560371251175
"CT-SD011, USA",0.684163065782839,0.02528387097560341,0.10664518710805754,0.0707301860577836,0.10798710265082975,0.3189405019661679,0.44005409539145757,0.1802026295198172,0.060802773122557316
"CT-SD014, USA",0.8630897328389112,0.0012809577483808056,0.01156862749380964,0.029304735508222123,0.08726840444656427,0.26660979718617783,0.43675413478200226,0.20066250053213844,0.09597356749968151
"CT-SD001, USA",0.8004336457653562,0.003988650635643364,0.04238661330484283,0.07461609143275605,0.07150533112304042,0.30333862506502085,0.4743822006827008,0.18062938311371857,0.04164979113855977
"AR-SD017, USA",0.9155292418345291,0.004964759005026554,0.01474182487249166,0.0009236760939584287,0.05824656469267544,0.3856217618772317,0.2551109256045387,0.3150564893617716,0.044210823156458134
"AR-SD015, USA",0.8919190786682188,0.0019049088162272593,0.018153976115420325,0.007294440688769315,0.06595844302804396,0.2899867030613932,0.5452467928594212,0.13927028072946107,0.025496223349724487
"AR-SD014, USA",0.8914731347920437,0.002395537069715454,0.014669456809388798,0.0029145525430114613,0.08371574819669977,0.4042280706377626,0.4538009617171708,0.1226696323844687,0.019301335260597886
"AR-SD012, USA",0.8972754909243168,0.005464646739238406,0.013687101738787429,0.016232365205402725,0.04929899713771365,0.2960324903311836,0.46745400214650984,0.2044732836808287,0.03204022384147787
