longname,Commute Car %,Commute Bike %,Commute Walk %,Commute Transit %,Commute Work From Home %,Commute Time < 15 min %,Commute Time 15 - 29 min %,Commute Time 30 - 59 min %,Commute Time > 60 min %
"Southern District of Iowa, IA, USA",0.8629002785914054,0.005754013223602949,0.030051868536088377,0.010607945223008678,0.08323257122841567,0.3843091980359291,0.393769953879111,0.1849224083171376,0.036998439767822314
"District of Idaho, ID, USA",0.8600915620806694,0.009792454500008372,0.02300652750569871,0.006264396271500226,0.09246861224128569,0.3802099531387546,0.36837076786024914,0.20314270804231743,0.04827657095867882
"Eastern District of Louisiana, LA, USA",0.8742502489245702,0.008650625870445837,0.02181330009385752,0.016499073479839147,0.0653446047528256,0.2597062079114594,0.3702425475531017,0.27686751842884083,0.09318372610659797
"Eastern District of Washington, WA, USA",0.8572614764694366,0.005819289605118642,0.029213083751393726,0.012273133099413906,0.08549676405286931,0.3603490344160567,0.39902249714173793,0.19224071045843033,0.04838775798377509
"Eastern District of Arkansas, AR, USA",0.9206653934774702,0.002227543080851203,0.014368706763572629,0.003080129857483708,0.05122772351846132,0.34400825674349295,0.36282086146494785,0.23942915136239573,0.05374173042916332
"Southern District of Georgia, GA, USA",0.9025483781285015,0.0048598127581450535,0.016907888686836316,0.007195458629175383,0.0526181582448325,0.2877073561414656,0.39038586261840236,0.2547554752723826,0.06715130596774943
"Western District of Tennessee, TN, USA",0.9109452205185794,0.0015382632963718984,0.01061345901756301,0.005570689643075288,0.05730286301496014,0.2544779119190834,0.42616443158894435,0.27215800244401894,0.047199654047953225
"District of Hawaii, HI, USA",0.8081540892714957,0.013235529005451822,0.044133516203712815,0.048911972606330296,0.06959986212649319,0.24908593649495198,0.3392694917089329,0.32132064107856617,0.0903239307175489
"District of New Hampshire, NH, USA",0.8498289309099942,0.0029356110075939457,0.02351632322095919,0.00709212477211143,0.10830597434136857,0.27645796400867223,0.34524343491739967,0.28326166130385516,0.095036939770073
"Western District of Arkansas, AR, USA",0.908425433478349,0.002864787616561917,0.016252922454547316,0.0026708790963119937,0.062287619184217574,0.36577988292028724,0.3780350886893208,0.20802989656413737,0.04815513182625452
"District of Maine, ME, USA",0.8414856962635485,0.004227827135407797,0.036938796116333696,0.00491895301988074,0.10466047511354487,0.32420752850200807,0.3490837841418925,0.2608445046017489,0.06586418275435046
"Northern District of Iowa, IA, USA",0.8791098693518882,0.003452938799790677,0.029141252927767085,0.0038942470401784317,0.07753905056110255,0.46309911511576224,0.34301830376984926,0.1545355367893652,0.039347044325023235
"Southern District of Illinois, IL, USA",0.8989475646635559,0.0025006767064205547,0.01634133968152672,0.010144322209056573,0.06589059046444468,0.32970953305750234,0.32538975843037315,0.2825604691685921,0.06234023934353243
"Middle District of Alabama, AL, USA",0.928628093874843,0.0022784959086491544,0.014626604635308774,0.002998768435426046,0.04419227015697883,0.28944485955914817,0.3975499269775498,0.2541987908840811,0.05880642257922087
"Northern District of Mississippi, MS, USA",0.9408177763744722,0.0013309477137081035,0.009627992439690746,0.0024557849083246723,0.03865230032495297,0.3191762575324219,0.3580893991852896,0.25851545714559415,0.06421888613669435
"District of Rhode Island, RI, USA",0.8570938749566458,0.0035764239703049957,0.029783521071433592,0.02047045565598341,0.0803024449013833,0.26579757474133603,0.38751767430819717,0.27425343273202957,0.07243131821843728
"District of Montana, MT, USA",0.8350524603560058,0.012205416406484886,0.042544539266248835,0.006818689917281466,0.09437082263697125,0.46010019110367695,0.35856199803363253,0.1360560287038574,0.04528178215883312
"Northern District of Oklahoma, OK, USA",0.9004941942698178,0.0030142093490602966,0.013546595571470718,0.0029897201735770715,0.0692514701852811,0.30889510770541284,0.43553641614176924,0.21523219605094937,0.040336280101868564
"District of Delaware, DE, USA",0.8493650110465054,0.0032532154938415946,0.020579945929657978,0.019969644075020356,0.0983559792158787,0.2510308784120474,0.4065135991048007,0.2606327134513855,0.08182280903176625
