longname,PW Mean % of parkland within 1km,Within 10km of Hospital %,Mean distance to nearest Hospital,Within 2km of Public School %,Mean distance to nearest Public School,Within 30km of Airport %,Mean distance to nearest Airport,Within 10km of Active Superfund Site %,Mean distance to nearest Active Superfund Site
"Lukachukai Chapter, Navajo Nation Reservation and Off-Reservation Trust Land, USA",0.0,0.0,43.08541642482872,0.3653116531165312,3.4576368758551177,0.0,259.2674279420125,0.0,107.29011811834792
"Rosebud Segment, Rosebud Indian Reservation and Off-Reservation Trust Land, USA",0.0,0.9994410285075461,2.5030979905069057,0.31805477920626046,2.854166449830624,0.0,133.75489320480656,0.0,206.75130215482355
"Elmo-Dayton District, Flathead Reservation, USA",0.0,0.0,18.60997920853351,0.12248322147651007,6.634998325510236,0.0,54.490786364536426,0.0,77.65060245661633
"Nahatadziil Chapter, Navajo Nation Reservation and Off-Reservation Trust Land, USA",0.0,0.0,48.394754442376076,0.24701195219123506,9.562693051407535,0.0,214.41231471003266,0.0,93.37741808113749
"McIntosh Non-Community, Cherokee OTSA, USA",0.0,0.0,21.471797071571274,0.0,9.435658006590552,0.0,92.1363152797339,0.0,101.11921075217691
"Five Houses District, Hopi Reservation and Off-Reservation Trust Land, USA",0.0,0.7074030552291422,7.617579127227906,0.2720329024676851,2.7118704292506313,0.0,141.90724107161265,0.0,168.38074978854428
"Wounded Knee District, Pine Ridge Reservation, USA",0.0,0.0,24.50705860073387,0.0,11.79445409723119,0.0,103.58782826254007,0.0,115.14040847541166
"Agency District, Fort Belknap Reservation and Off-Reservation Trust Land, USA",0.0,0.9610311750599521,3.16233326974683,0.0,8.011506512923729,0.0,159.72230578745626,0.0,208.12264941712274
"District 5, Cheyenne River Reservation and Off-Reservation Trust Land, USA",0.004098973817561021,1.0,1.0336472735712536,0.8558394160583942,1.2512533870035214,0.0,101.3681110664232,0.0,176.2434262550775
"District C, Salt River Reservation, USA",0.0059483026502925255,1.0,4.120392887950572,0.46833130328867234,1.9221258613166152,1.0,11.71632933395775,1.0,2.6967438614222417
"Chi Chil Tah Chapter, Navajo Nation Reservation and Off-Reservation Trust Land, USA",0.0,0.0,21.595929475398663,0.10967344423906346,5.816635513502452,0.0,207.14997223948475,0.0,54.11984878759485
"Fort Thompson District, Crow Creek Reservation, USA",0.0,0.0,33.63205193448395,0.04525728456292622,11.451477519627293,0.0,76.02752286667817,0.0,283.1127730195905
"Ramah Chapter, Navajo Nation Reservation and Off-Reservation Trust Land, USA",0.0,0.0,40.54854075270252,0.3992560446373218,5.461521194422504,0.0,165.60176302910634,0.0,59.5427666809464
"Cañoncito Chapter, Navajo Nation Reservation and Off-Reservation Trust Land, USA",0.0,0.0,38.23264292283604,0.07342874922215308,6.09549219944646,0.0,43.32544190443551,0.0,23.134151105810947
"Chilchinbeto Chapter, Navajo Nation Reservation and Off-Reservation Trust Land, USA",0.0,0.0,57.172480415548726,0.11426767676767677,6.074932047113341,0.0,199.25732351314582,0.0,159.91528760988007
"Hot Springs District, Flathead Reservation, USA",0.0,0.0,25.238706565837,0.44705136334812934,6.232316548695386,0.0,79.26057679884714,0.0,44.82785063301642
"Bodaway Chapter, Navajo Nation Reservation and Off-Reservation Trust Land, USA",0.0,0.04895104895104895,32.267101557301565,0.018436109345200253,19.031208779755023,0.0,75.68884571653777,0.0,216.27931019869473
"Leupp Chapter, Navajo Nation Reservation and Off-Reservation Trust Land, USA",0.0,0.0,40.47970938703299,0.5475113122171946,4.73963818845994,0.0,59.467623248539276,0.0,140.08553105956113
"LeChee Chapter, Navajo Nation Reservation and Off-Reservation Trust Land, USA",0.0,0.8312458800263678,11.077070502719968,0.013183915622940013,6.089479169131023,0.0,118.54339549550629,0.0,215.62726252231315
"Copeland, Cherokee OTSA, USA",0.0,0.8577101257445401,9.08521763895256,0.0,7.527091716121359,0.0,60.234654239624,0.0,32.34096976909248
"Sanostee Chapter, Navajo Nation Reservation and Off-Reservation Trust Land, USA",0.0,0.0,42.64121149525939,0.0456953642384106,8.547189683247913,0.0,244.32135007783006,0.0,72.99410761135645
"Peggs Community, Cherokee OTSA, USA",0.0,0.0,22.056219835469502,0.1863270777479893,3.854003027772478,0.0,71.23142007455618,0.0,73.77618220503598
"Old Agency District, Lake Traverse Reservation and Off-Reservation Trust Land, USA",0.0,0.2860026917900404,11.14039831840556,0.3546433378196501,4.216640847204786,0.0,72.91924186629487,0.0,161.21327083888886
"Thoreau Chapter, Navajo Nation Reservation and Off-Reservation Trust Land, USA",0.0,0.0,31.12648652447634,0.20542372881355933,5.074514586065056,0.0,154.16217400865455,0.0,19.711152693120514
"Torreon Chapter, Navajo Nation Reservation and Off-Reservation Trust Land, USA",0.0,0.0,73.68480648022418,0.140625,6.234785087971205,0.0,102.63811267366104,0.0,74.78296769016607
"Tohatchi Chapter, Navajo Nation Reservation and Off-Reservation Trust Land, USA",0.0,0.0,31.724513564750612,0.5023825731790333,4.100973804922456,0.0,212.8738168613044,0.0,32.97452245008936
"Nenahnezad/San Juan Chapter, Navajo Nation Reservation and Off-Reservation Trust Land, USA",0.0,0.004106776180698152,17.596298755914205,0.2785763175906913,6.168021665641101,0.0,204.23110782771266,0.0,35.304521579160614
"Kinlichee Chapter, Navajo Nation Reservation and Off-Reservation Trust Land, USA",0.0,0.35253772290809327,13.51973745900597,0.019204389574759947,6.559769170316147,0.0,216.62883008011107,0.0,82.41509199779277
"Bear Soldier District, Standing Rock Reservation, USA",0.0,0.9708939708939709,1.826783573201289,0.8128898128898129,1.718643693458346,0.0,107.23863678529969,0.0,257.21264818634495
"Justice, Cherokee OTSA, USA",0.0,1.0,4.917403697056073,0.36713286713286714,2.4061491361603236,0.44825174825174824,30.491613205324462,0.0,25.850979551796733
"Redby District, Red Lake Reservation, USA",0.001118127130914389,0.6220640569395017,9.779359476371143,0.0,8.509962019198865,0.0,135.08936391837364,0.0,59.53188448111764
"Fort Totten District, Spirit Lake Reservation, USA",0.0,0.0,19.192235559806786,0.5767309064953604,2.3324509881827504,0.0,119.27024356164078,0.0,301.63717292322644
