longname,White %,Hispanic %,Black %,Asian %,Native %,Hawaiian / PI %,Other / Mixed %
"East Flatbush Neighborhood, New York City, New York, USA",0.02373552815819132,0.07229944332502306,0.8060346299648236,0.01594037088897237,0.0021259519825142584,0.0003671322700727434,0.07949694341040266
"Borough Park Neighborhood, New York City, New York, USA",0.6469094753200756,0.1082880815345555,0.009947866313687577,0.1736675189967202,0.00046080034695555536,0.00010842361104836596,0.060617833876957274
"Concourse Neighborhood, New York City, New York, USA",0.022602609318476477,0.6475062785025885,0.2842416384851809,0.02082558909127175,0.0013690308893260922,0.00022666074326590932,0.023228192969890385
"East San Jose Neighborhood, San Jose City, California, USA",0.05288465992791824,0.5393809122325888,0.018993264339914575,0.3644205201374927,0.0021958066578340266,0.004993838770348272,0.01713099793390344
"Elmhurst Neighborhood, New York City, New York, USA",0.05081947333563427,0.39590309972668675,0.014990252138466274,0.5167952389392088,0.0012966055054429446,0.00014924955458336055,0.020046080799977613
"Sunset Park Neighborhood, New York City, New York, USA",0.09138571188685934,0.41755135548631456,0.01727708640408978,0.45453103718491705,0.0010355057186036533,0.00016791984626005188,0.018051383472955575
"Bensonhurst Neighborhood, New York City, New York, USA",0.37851066418350443,0.16324295995432977,0.01137076170065417,0.4114811937895988,0.0005895950511450311,0.00018717303210953365,0.03461765228865825
"Bullard Neighborhood, Fresno City, California, USA",0.40377932640832503,0.3797922497511129,0.0634145425174221,0.1033867423032853,0.0052313240791179065,0.001822041061667637,0.04257377387906907
"Van Nuys Neighborhood, Los Angeles City, California, USA",0.22902857789385353,0.6166357096387928,0.0496978154081142,0.07075173720783323,0.0013105665607527743,0.0010654246141371475,0.03151016867651634
"Alief Neighborhood, Houston City, Texas, USA",0.05894975775378629,0.5096612367909052,0.2179452943196124,0.18693014916262923,0.0009823370083546332,0.00045778812039827565,0.025073436844313887
"East Memphis-Colonial-Yorkshire Neighborhood, Memphis City, Tennessee, USA",0.4748051547187283,0.08761285593024153,0.3791573423875299,0.023198163438536923,0.001263600586465005,0.0003858322401419863,0.033577050698356356
"West San Jose Neighborhood, San Jose City, California, USA",0.26171316612853246,0.19647730339774283,0.030868578625908413,0.46213900856683027,0.001199556164219239,0.003238801643391945,0.04436358547337485
"Southwest Dallas Neighborhood, Dallas City, Texas, USA",0.10505121865065348,0.5512741585507392,0.30360801332189535,0.016046828480597467,0.002139577130746329,0.0003835091083413231,0.021496694757026792
"South Bronx Neighborhood, New York City, New York, USA",0.016817096369449953,0.5628263245234144,0.38834136074796616,0.0055854616100700204,0.0018517019468166915,0.00034403205569271864,0.024234022746590034
"East Neighborhood, Arlington City, Texas, USA",0.1590606953321918,0.5307624405755793,0.2155232007827539,0.0649919703914833,0.00289278611462665,0.0011167005221904348,0.025652206281174556
"North Long Beach Neighborhood, Long Beach City, California, USA",0.07081974225977221,0.5955724292818566,0.17634351104219026,0.1089032672049623,0.001946419977541308,0.0163306775038768,0.030083952729800544
"Estrella Neighborhood, Phoenix City, Arizona, USA",0.13077698428016898,0.7316691329430183,0.08674858993330331,0.015162238092174398,0.011494992386712132,0.0019837440219605826,0.02216431834266229
"Northeast Neighborhood, El Paso City, Texas, USA",0.15451848029413662,0.7413833881614311,0.05807478122513922,0.014491818787761509,0.002418886667096691,0.0033756907265260487,0.02573695413790879
"South Scottsdale Neighborhood, Scottsdale City, Arizona, USA",0.7301279356764855,0.15369526088315497,0.025684137916168182,0.03240965283840441,0.01230855455319516,0.0014227050797038187,0.04435175305288798
"Alafaya Neighborhood, Orlando City, Florida, USA",0.3817849573980364,0.38404480775052985,0.1011958825310324,0.07807837031270273,0.0010488300679036373,0.0008109510834306474,0.053036200856364346
"Koreatown Neighborhood, Los Angeles City, California, USA",0.10017513515865505,0.46729541276419845,0.0490160885030839,0.35282663794885183,0.001577304223911932,0.0006417996497296827,0.028467621751569146
"Flushing Neighborhood, New York City, New York, USA",0.06128027114196687,0.1309134641666211,0.028327775651888702,0.7625758486852895,0.0006559886295304214,0.00010933143825507024,0.01613732028644837
"Westlake Neighborhood, Los Angeles City, California, USA",0.08959885228714892,0.6188710478397617,0.05972521105777189,0.2029134249296474,0.0023285328036197098,0.0005297136235722562,0.026033217458478176
"Soundview Neighborhood, New York City, New York, USA",0.01774298616554968,0.611442956354683,0.2728798401254265,0.05624316834306787,0.0034448112530500933,0.00035331397467180443,0.037892923783551025
"Southeast Neighborhood, Arlington City, Texas, USA",0.22797125483692648,0.2860033167495854,0.3201326699834163,0.12049751243781094,0.002177998894416805,0.0013598673300165838,0.04185737976782753
"Northwest Neighborhood, El Paso City, Texas, USA",0.22311072448251248,0.7013740185581727,0.02316425767309065,0.0295436295503212,0.0019294254104211277,0.0006580121341898644,0.020219932191291937
"Central City Neighborhood, Corpus Christi City, Texas, USA",0.13015152869658503,0.8067338637582693,0.043380118004648666,0.004536921151439299,0.002447255497943858,0.000435812622921509,0.012314500268192384
"Canarsie Neighborhood, New York City, New York, USA",0.038785588139349146,0.07982092037030787,0.7972305650232286,0.020956366213343233,0.0012711054117594124,0.00010123848412243108,0.06183421635788929
"Downtown Neighborhood, San Jose City, California, USA",0.26289462237586136,0.43141182665232025,0.04569492456674527,0.20809963141869461,0.0035713468098257824,0.0029990155903024196,0.04532863258625031
"Evergreen Neighborhood, San Jose City, California, USA",0.13304670888146367,0.1807836997920415,0.020258429329158587,0.6324742388485174,0.001179989251583055,0.0027338364838656913,0.029523097413370097
"Lower East Side Neighborhood, New York City, New York, USA",0.22980573196166193,0.25451690764652124,0.08772525953178825,0.39451175216178846,0.0009256438497410541,0.0004100953764675556,0.032104609472031496
"Sun Valley Neighborhood, Los Angeles City, California, USA",0.23594759618234631,0.6335763827138539,0.021886300314185786,0.08567194261663406,0.0013634477443831882,0.0008892050506846879,0.020665125377912145
"Northwest Raleigh Neighborhood, Raleigh City, North Carolina, USA",0.6337466731909916,0.08737423766842903,0.16449653295778682,0.06301543161990238,0.00201697120147036,0.00038191170678728714,0.04896824165463247
"Sylmar Neighborhood, Los Angeles City, California, USA",0.11304076289303644,0.7848718503038601,0.026891018712017486,0.05464677764166126,0.0024260767216737525,0.00039633926641204873,0.017727174461338906
"Mid City Neighborhood, Los Angeles City, California, USA",0.21141255767883457,0.37824028217331435,0.1584446645568091,0.19933322059285385,0.001606551832435436,0.0005918875172130553,0.05037083564853961
"North Raleigh Neighborhood, Raleigh City, North Carolina, USA",0.6791831994580471,0.08347043453014613,0.15571470047420885,0.03492451369399013,0.0015363398819316753,0.00016936030194522405,0.04500145165973096
"White Haven-Coro Lake Neighborhood, Memphis City, Tennessee, USA",0.02127400479791522,0.025889258271532777,0.9295047431166965,0.0013760518272263422,0.0016804880721879225,0.00012177449798463206,0.020153679416456606
"North Valley Neighborhood, San Jose City, California, USA",0.07932813055143771,0.30324785905933377,0.02045991938546733,0.5671563162343947,0.0018499687588057288,0.0030016049397841296,0.024956201070776618
"Northridge Neighborhood, Los Angeles City, California, USA",0.35881101422896705,0.3519732392114422,0.05562456187817446,0.18712874940046487,0.0014265861547354051,0.0015741640328114815,0.0434616850934045
"West Neighborhood, Arlington City, Texas, USA",0.5547257560471468,0.21132409754177023,0.13677747976082089,0.04601491178424666,0.0037156426093161742,0.0008243313073648466,0.04661778094933438
