longname,PW Density (r=250m),PW Density (r=500m),PW Density (r=2km),PW Density (r=4km)
"VA-SD018, USA",2541.465035227561,1685.765815472155,1188.789971503168,1055.3330893412417
"NC-SD030, USA",1109.4007920333156,438.82923251139454,242.49232966026875,200.70422533071857
"VA-SD025, USA",1243.544135083201,466.59214894244997,198.79568701949069,157.32326872806573
"VA-SD040, USA",7685.3005815686865,6419.012748543768,4167.059537557627,3715.3688419139435
"TN-SD009, USA",824.0512748080744,374.4059476210123,212.06939331130852,156.03935337297963
"NC-SD043, USA",1490.4383737076218,746.7499447309278,498.48903684413153,438.1946424729189
"VA-SD024, USA",2873.155034399211,1496.2576183906353,928.8562569808115,731.4543088218697
"NC-SD032, USA",1832.7044967533016,1041.713178788142,761.7503934689804,700.8396790586663
"NC-SD036, USA",717.3080833493075,236.48035099616976,105.45292641317346,88.50486371910237
"TN-SD016, USA",619.350076192122,300.69119571675145,154.83852555881543,106.2931011675293
"NC-SD023, USA",1656.8904013699828,948.2166007390164,545.5945767932462,419.0792598781311
"TN-SD028, USA",1095.457666175065,672.7036583899278,385.83677450758665,265.3212481558561
"VA-SD029, USA",3549.8002841357647,1714.4053783396246,1165.4299849796264,1001.5220290206075
"NC-SD047, USA",1022.9365313198687,407.48119022822567,169.39637925060353,109.50446924893429
"TN-SD014, USA",1694.7237250434011,1042.9978899193147,660.6074095108921,481.3680252039178
"NC-SD033, USA",977.2975157093404,433.58124332106485,253.30227400478816,206.2649177959523
"NC-SD007, USA",1942.3774585247838,1094.518069123938,776.746278405564,633.9193228261518
"TN-SD018, USA",1635.170048396782,760.8497748354414,403.3023115390501,332.66147519609694
"TN-SD003, USA",1182.533936229143,605.1012266178275,359.87683075861753,294.3935460942233
"NC-SD011, USA",1091.3837192059066,460.9420504612678,212.6901868221096,159.4521259799792
"TN-SD015, USA",750.8825640717325,351.22092136942433,199.52317939357638,149.04749738044853
"NC-SD006, USA",2371.0064205010376,930.2175301286258,355.2723897940171,270.9606297244822
"NC-SD008, USA",1103.3791066662845,466.9981138257192,222.565951935031,169.480869929377
"TN-SD007, USA",2699.7106259923908,1468.806663762206,813.5547583124829,701.8578985520508
"TN-SD025, USA",914.5500502210747,493.94186460867525,284.1823113714973,204.39644573002593
"NC-SD027, USA",1872.904565416274,1069.8988684951082,725.0428984223261,626.6557329060377
"TN-SD005, USA",1458.2593477691162,676.6204470585723,417.7291310471794,358.8435770984648
"TN-SD002, USA",942.7376542063258,425.486091638368,256.62132432439057,221.28362572694337
"TN-SD013, USA",2083.2190993550385,1069.9966822549227,641.6083167466788,522.3049948293872
"TN-SD006, USA",1566.018391159748,782.3649444744201,532.523962370635,488.7602334686906
"TN-SD001, USA",926.2156394544566,468.59861868181076,284.7486853953608,229.12589851477435
