longname,Housing Units per Adult,Housing Units per Adult (2010),Housing Units per Adult (2000),Vacancy %,Vacancy % (2010),Vacancy % (2000),Rent/Income < 20%,Rent/Income 20%-40%,Rent/Income > 40%,1BR Rent < $750 %,1BR Rent $750 - $1500 %,1BR Rent > $1500 %,2BR Rent < $750 %,2BR Rent $750 - $1500 %,2BR Rent > $1500 %,% units built pre-1970,% units built in 1970s,% units built in 1980s,% units built in 1990s,% units built in 2000s,% units built in 2010s+,Renter %
"Cincinnati MSA, OH-KY-IN, USA",0.5521564056991346,0.5735061580621791,0.563949239298502,0.06966548745789043,0.09379637613897875,0.06413661459158151,0.3161238869473304,0.3839584987002622,0.2999176143524074,0.5472926238822181,0.4080826046143977,0.04462477150338431,0.2221067031463754,0.6845690834473317,0.09332421340629284,0.44238538658431925,0.13794063855856792,0.10727186659084179,0.13784003312566218,0.12045965033787513,0.05410242480273367,0.32660818512590384
"Kansas City MSA, MO-KS, USA",0.5620220014245527,0.5829098141780427,0.568887040728623,0.07458992609281923,0.09353512460978715,0.06374853774114879,0.2957327557173718,0.4180034671138212,0.28626377716880713,0.29543263593965424,0.6307808551106051,0.07378650894974045,0.15971899467305228,0.7086536055200058,0.13162739980694185,0.386250338138113,0.14714589961913999,0.11968049705229444,0.14098641865577757,0.1331265860287773,0.07281026050589777,0.3471943421095533
"Columbus MSA, OH, USA",0.54997517617596,0.5733471442619995,0.5667636559833897,0.06695581969449294,0.0875271388987428,0.06510526233774329,0.30341114291279203,0.4193959441302796,0.27719291295692855,0.340943494894448,0.613904714722154,0.045151790383398074,0.1360581491319935,0.7336334191051532,0.13030843176285323,0.36407916737453005,0.13753140675435202,0.11550308926224243,0.15904447464659027,0.14172940566349873,0.0821124562987865,0.383003839128853
"Indianapolis-Carmel-Anderson MSA, IN, USA",0.5599308079531982,0.5835511408151306,0.5755086534264156,0.07495305566472843,0.10227012181290959,0.0762086581111157,0.2732073868026568,0.4178063668675644,0.3089862463297787,0.36338434717994966,0.5901887655220694,0.04642688729798079,0.15337160788788864,0.7580323075277221,0.08859608458438924,0.3747949298304613,0.12078774024520227,0.10277428628811143,0.16256563937888882,0.14860507152351118,0.09047233273382509,0.33978295492425653
"Cleveland-Elyria MSA, OH, USA",0.5839446444440825,0.5987253042585543,0.5682454278081374,0.08276457035406916,0.10532756467495816,0.06353133682557463,0.28628130883515734,0.4003237174128098,0.3133949737520328,0.556129823166466,0.3890675145639641,0.05480266226956992,0.2464149914871271,0.6744949488690684,0.07909005964380451,0.6145270397516014,0.12427272219537146,0.06886219441101878,0.08909103403897618,0.06806019447034459,0.03518681513268766,0.3504777051069682
"San Juan-Carolina-Caguas MSA, PR, USA",0.5828123904339294,0.5742292155614893,0.5183344793785022,0.15320938353903246,0.1493582457577176,0.1018417846784018,0.23298938881340295,0.39373701586309034,0.3732735953235067,0.8865320354496585,0.10426655043827797,0.00920141411206354,0.8531830855018587,0.12797397769516733,0.018842936802973973,0.34483344834159874,0.2221848420276044,0.15566268405474382,0.1444033786602875,0.12031812734803045,0.012597519567735097,0.32240686688957226
"Nashville-Davidson--Murfreesboro--Franklin MSA, TN, USA",0.5396256956154736,0.5560369360347988,0.5511549023086476,0.06745702204022412,0.0788514596638488,0.0611657601897741,0.2595683345656365,0.4365752548371273,0.3038564105972362,0.20854734952376117,0.6054455692415115,0.18600708123472717,0.1335140730517084,0.652407945975254,0.2140779809730376,0.22627590280060023,0.12615741723291898,0.1354967965237764,0.16893592198628904,0.18476108240264996,0.15837287905376535,0.33819747922430266
"San Jose-Sunnyvale-Santa Clara MSA, CA, USA",0.4490175311163212,0.4668697409078396,0.4573339579029818,0.04635533490773116,0.043973723225571054,0.023237187559818254,0.30043060559141505,0.403429419177638,0.296139975230947,0.07982639586606144,0.12937161090636204,0.7908019932275764,0.03455855666356678,0.084206579226402,0.8812348641100313,0.40029696397913184,0.21317382327052736,0.1210663279464638,0.09993941165265319,0.08937083288157958,0.07615264026964437,0.43538895318875287
"Virginia Beach-Norfolk-Newport News MSA, VA-NC, USA",0.5391168513503135,0.5353102570807461,0.5358233057427697,0.07535399038823365,0.08075894510596476,0.06679237410533749,0.22343948616857492,0.43684809449095324,0.3397124193404719,0.18695140107997604,0.7329837114730784,0.08006488744694566,0.10482794946202964,0.705529267093924,0.18964278344404614,0.30731947093790246,0.15217298736151177,0.18503862869321233,0.14858860351512312,0.12478078528828923,0.08209952420396112,0.37987643290000717
"Providence-Warwick MSA, RI-MA, USA",0.5381806000634392,0.5521365654046322,0.5452271894238417,0.07692169985403068,0.09535046270087918,0.06452183324568023,0.27736288340271237,0.41129715075053475,0.3113399658467529,0.4322777107289412,0.48539373890918414,0.08232855036187467,0.16423900337844097,0.615319077112823,0.22044191950873607,0.5962027796606728,0.12142949893278293,0.11237208474632922,0.08061650240697621,0.06143321548304392,0.027945918770194974,0.37729686888947844
"Jacksonville MSA, FL, USA",0.5514615861941737,0.5834302348267869,0.5724676821578505,0.09014774330144441,0.1236055190679383,0.08885144740583174,0.23591179380476138,0.4306069785706254,0.33348122762461324,0.210172492164884,0.7334385990095459,0.056388908825570024,0.12695347276437785,0.6698305734752301,0.20321595376039206,0.22579838300314156,0.11950622006753474,0.16388903193531937,0.15889090788708962,0.21222237752977702,0.11969307957713775,0.3479185486611247
"Milwaukee-Waukesha-West Allis MSA, WI, USA",0.569771758807508,0.570965035823532,0.5594930979859697,0.061576674239715835,0.07113207490824607,0.04925416599255784,0.2927743553023805,0.38493174730864477,0.32229389738897474,0.4034965675569494,0.5170822962450176,0.079421136198033,0.1326494444094435,0.737046564901897,0.13030399068865933,0.5588027701196264,0.1292328534802624,0.07773408325883518,0.10860715110433045,0.08223724671746155,0.043385895319483996,0.40030326948733147
