longname,LICO-AT %,Household income < C$50k %,Household income C$50k - C$100k %,Household income > C$100k %,Individual income < C$50k %,Individual income C$50k - C$100k %,Individual income > C$100k %
"Kamouraska CRM, Quebec, Canada",0.018661358546902203,0.3596730245231609,0.38038147138964573,0.25994550408719336,0.6862222222222217,0.27733333333333376,0.0364444444444445
"Annapolis County, Nova Scotia, Canada",0.04379038047379756,0.4227600411946448,0.3753861997940267,0.20185375901132857,0.7507114399544677,0.21627774615822432,0.033010813887307915
"Powell River Regional district, British Columbia, Canada",0.030093409215990345,0.3583117600678526,0.3777882063031114,0.26390003362903597,0.6881334051566101,0.25125460160679103,0.06061199323659867
"La Matanie CRM, Quebec, Canada",0.03377533149862396,0.4338125929598415,0.33862171541893915,0.22756569162121937,0.695563339171045,0.26123759486281384,0.043199065966141294
"Region 6 Region, Northwest Territories, Canada",,0.06474313863476426,0.17945109078114002,0.7558057705840957,0.36097717775634813,0.3137254901960787,0.32529733204757305
"Bécancour CRM, Quebec, Canada",0.020516717325227956,0.335548172757475,0.3676633444075305,0.29678848283499454,0.6391625615763539,0.29495073891625684,0.06588669950738912
"Haliburton County, Ontario, Canada",0.03333333333333336,0.30533955417314645,0.3675479523068949,0.3271124935199586,0.6468619246861923,0.2686192468619247,0.08451882845188288
"Division No. 9, Alberta, Canada",0.0347222222222222,0.2689873417721518,0.3329113924050633,0.39810126582278493,0.6250402317347925,0.26037978757644015,0.11457998068876739
"La Vallée-de-la-Gatineau CRM, Quebec, Canada",0.03386715673405091,0.417134115247323,0.3544110147883732,0.2284548699643038,0.7063607319198375,0.252105721754284,0.04153354632587857
"Abitibi-Ouest CRM, Quebec, Canada",0.026027047716254127,0.35634743875278396,0.3279510022271716,0.31570155902004443,0.6440677966101697,0.2696170747018204,0.08631512868801
"Antigonish County, Nova Scotia, Canada",0.04008221993833503,0.31011904761904774,0.35059523809523785,0.3392857142857143,0.6518053375196232,0.27409733124018837,0.07409733124018844
"Division No. 1, Manitoba, Canada",0.03218020917135959,0.28554502369668233,0.4075829383886257,0.3068720379146921,0.6463104325699743,0.280534351145038,0.07315521628498771
"Division No. 14, Manitoba, Canada",0.02210257863417398,0.18946598390636463,0.3255303584491585,0.48500365764447684,0.5501951046470378,0.3348705214615115,0.11493437389145064
"Témiscouata CRM, Quebec, Canada",0.025006870019236026,0.4119677790563865,0.3561565017261222,0.2318757192174914,0.7208698474521259,0.24407659850697835,0.03505355404089579
"Rainy River District, Ontario, Canada",0.03129702076436957,0.2595019659239842,0.35321100917431214,0.3872870249017036,0.5730994152046783,0.32782937736498113,0.0990712074303405
"Qikiqtaaluk Region, Nunavut, Canada",,0.1432637571157495,0.22580645161290347,0.6309297912713471,0.5496981891348086,0.19758551307847086,0.25271629778672056
"Robert-Cliche CRM, Quebec, Canada",0.015491452991453,0.3199505867819642,0.3872760963557752,0.29277331686226066,0.6578249336870027,0.3066976127320954,0.03547745358090187
"Division No. 4, Newfoundland and Labrador, Canada",0.05314130945977254,0.479867110120779,0.3284414344203813,0.1916914554588397,0.7720419024576863,0.19002231069544556,0.03793578684686812
"Division No. 2, Newfoundland and Labrador, Canada",0.028940886699507427,0.39180887372013656,0.34744027303754244,0.26075085324232095,0.7263233705437522,0.2167806985956068,0.056895930860640945
