longname,PW Density (r=250m),PW Density (r=250m) (2010),PW Density (r=250m) Change (2010-2020),PW Density (r=250m) (2000),PW Density (r=250m) Change (2000-2020),PW Density (r=500m),PW Density (r=500m) (2010),PW Density (r=500m) Change (2010-2020),PW Density (r=500m) (2000),PW Density (r=500m) Change (2000-2020),PW Density (r=2km),PW Density (r=2km) (2010),PW Density (r=2km) Change (2010-2020),PW Density (r=2km) (2000),PW Density (r=2km) Change (2000-2020),PW Density (r=4km),PW Density (r=4km) (2010),PW Density (r=4km) Change (2010-2020),PW Density (r=4km) (2000),PW Density (r=4km) Change (2000-2020)
"Anahola (Residential) Hawaiian Home Land, USA",1207.505331478228,1131.84092921978,0.06685073874347901,1136.2453219072086,0.06271533813790166,801.262385261308,727.8514191977526,0.10085982403451234,745.8633516478848,0.07427504447165365,166.27526277698252,161.27011332513555,0.0310358153079245,134.4134139121673,0.237043669507832,49.9441259550293,49.618047860503175,0.006571763875976434,40.99519855095868,0.21829208591212795
"Fort Mojave Reservation and Off-Reservation Trust Land, USA",958.949704208821,864.5305129195522,0.10921441161216122,698.6599143784248,0.372555780679027,411.11231756195644,380.98999487521814,0.07906329061634274,357.33158784267897,0.1505065086575982,133.44260389295457,119.4669048777024,0.11698385447885341,115.804536019632,0.15230895506832687,98.43151756664386,92.17493010942195,0.06787732249750168,86.26458667004479,0.14104201232814823
"Makah Indian Reservation, USA",640.207719264329,677.4538667440453,-0.05497960718525005,624.121996341956,0.025773363247334733,287.23892826291905,295.1003931758556,-0.026639967599947384,247.86874289161867,0.158834812780388,49.15028220103401,46.59153574643121,0.05491869743312315,36.4369445931771,0.348913383100665,20.279345069311596,19.269475617916065,0.05240772875296049,18.180039656304466,0.11547309316672111
"Ute Mountain Reservation and Off-Reservation Trust Land, USA",429.93670385458176,449.99881572111775,-0.04458258814389698,578.0583006692467,-0.2562398924869295,218.40671378964328,218.6039738671991,-0.000902362725005445,218.59190849022582,-0.0008472166324071558,64.29369549819717,63.83789735324694,0.007139930415127408,61.24743542524512,0.04973694084987646,20.711118185478885,20.339078957382327,0.018291842461308765,20.161379313686584,0.027266927685801193
"Lower Brule Reservation and Off-Reservation Trust Land, USA",856.341861361118,1085.1114224482208,-0.21082587129251154,811.4365970138209,0.055340447439212896,464.29343958039505,399.33275956507396,0.16267305513845606,348.69165906019475,0.33153009977862397,40.33445170974722,30.605125428796836,0.31789859197230774,29.545474230497344,0.365165148309358,16.058025860219225,10.43673080059107,0.5386068843808638,9.413079716259903,0.7059268957938409
"Sault Ste. Marie Reservation and Off-Reservation Trust Land, USA",1148.5214351213008,1131.295261374548,0.01522694767219525,880.8904202537045,0.30381873694405265,623.5296200420158,611.4819463106501,0.019702419350325684,494.54872217774306,0.2608052393630823,233.4551589404447,282.1014634674832,-0.1724425812227159,181.4063388801145,0.2869184196188842,110.81775610483587,127.15711826088994,-0.12849742412792334,130.3973913938985,-0.15015358113965144
"Picuris Pueblo, USA",231.21967372585522,294.6786682495862,-0.2153498076419385,303.57820065731016,-0.2383521833082337,109.86025422376305,147.13747907501804,-0.2533496229893214,151.28432907105326,-0.27381603303958,35.20795644047124,40.67358156077345,-0.13437776833435744,41.66214233381596,-0.1549172829767335,25.422611892918038,30.828031888254436,-0.17534106669313126,30.142342300329517,-0.15658140831875175
"Keaukaha Hawaiian Home Land, USA",1082.409519907917,935.2587506354892,0.1573369606779321,976.8093443097611,0.10810725369624283,779.2533103094253,818.7798390518504,-0.048274916964488296,810.6647642554116,-0.03874777260713612,172.69900906380315,162.02842329392413,0.06585625875357848,154.2109249425148,0.11988829019850672,111.65584176920837,99.77481407670588,0.1190784247752992,101.09045014637924,0.10451424053934284
"Ho-Chunk Nation Reservation and Off-Reservation Trust Land, USA",351.3426570255165,349.5008687544171,0.005269767361847422,309.77694748047793,0.1341794794064139,143.48305328743825,133.61734727641598,0.07383551770873696,109.47750428556658,0.31061677212854527,32.39533905434268,30.573675150063686,0.059582758544328866,30.329177135392527,0.06812456235547025,21.6694200232364,19.679696545775617,0.10110539422356539,18.831667373439355,0.15069046163163857
"Kanehili Hawaiian Home Land, USA",2579.2938710958115,,,,,1697.2462002775558,,,,,1832.643558562907,,,,,1597.6828416712679,,,,
"Annette Island Reserve, USA",1070.9143586040636,1060.5352858864746,0.009786635914630028,1072.5938868866006,-0.001565856661193603,427.3117523207369,460.8778319189307,-0.07283075312699822,436.6014951654572,-0.021277395857748516,100.80497873954421,102.93389548562327,-0.02068236838832551,94.47385726825534,0.06701453348424062,27.2827231935067,26.915199323863153,0.013654881958005788,26.037217990041103,0.04783557152465318
