longname,PW Mean % of parkland within 1km,Within 10km of Hospital %,Mean distance to nearest Hospital,Within 2km of Public School %,Mean distance to nearest Public School,Within 30km of Airport %,Mean distance to nearest Airport,Within 10km of Active Superfund Site %,Mean distance to nearest Active Superfund Site,Within 0.5mi of a grocery store %,Within 1mi of a grocery store %,Within 10mi of a grocery store %,Within 20mi of a grocery store %,geoid
"McCulloch County, Texas, USA",0.002630243185940719,0.8060288335517694,6.170080324551193,0.3588466579292267,4.473707836863031,0.0,112.5217837844595,0.0,181.38848036094922,0.20802601372901863,0.43582401927824566,0.8476850349493757,0.9789505890172692,48307
"Northwest Arctic Borough, Alaska, USA",9.332565775432923e-05,0.38438320209973753,73.49397708580504,0.9019685039370079,2.329891728309413,0.38490813648293964,74.12212238984775,0.0,674.9905990219906,0.35334135143271783,0.4706007171509492,0.5421142508560359,0.6328731482710831,02188
"Red River Parish, Louisiana, USA",0.0,0.5809711286089239,8.613447818162872,0.294750656167979,6.117392823979058,0.0,65.87192370002239,0.0,54.40106452301066,0.04238041929311509,0.16839927787908826,0.8807990253041144,1.0,22081
"Boise County, Idaho, USA",0.0005553286784031972,0.0,31.49965933359669,0.2480946123521682,8.140245416390732,0.2739816031537451,44.82922385825521,0.0,96.70391384924967,0.03015741888521939,0.05164917427312976,0.5246801080469514,0.9783406778830988,16015
"Clay County, Tennessee, USA",0.0,0.5664160401002506,8.90743284068959,0.23519324627357868,5.760614888026961,0.0,110.86905570032751,0.0,104.70557770118286,0.10747151340722139,0.19134241564000343,0.9982329693353597,1.0,47027
"Valley County, Montana, USA",0.004375792136383818,0.5414357350224334,15.53435361591845,0.5736342042755345,6.283879402334177,0.7867511216679863,17.79019958491814,0.0,307.1565446653828,0.28235306441651664,0.45898728632828356,0.597826900338587,0.8452011871693725,30105
"Monroe County, Iowa, USA",0.005465774173918652,0.6781047908143064,7.017594443750277,0.4980863138445295,4.700077553959991,0.0,89.29310237805232,0.0,69.94036248727842,0.2897004682400438,0.4753836617978082,0.9111843034091412,1.0,19135
"Dade County, Missouri, USA",0.0016053196416705366,0.0,30.913287499465685,0.3835381159994715,4.632863605797098,0.12696525300568107,42.85884866774377,0.0,43.83225724171075,0.16488073274983772,0.30879992919633215,0.9104067912942303,1.0,29057
"Grant County, South Dakota, USA",0.014645436891224987,0.722075172048703,7.401021126132095,0.5594229751191107,4.624637971310097,0.011381683430386447,51.80173632801146,0.0,164.4502690451904,0.32096159112765055,0.4992233686628621,0.8106931020300161,0.9854861725868618,46051
"Cleveland County, Arkansas, USA",0.0,0.006754966887417219,21.67933058593035,0.14225165562913908,9.315172945401502,0.0,86.13388333039585,0.0,88.19446316344107,0.09153282982152178,0.13998114355144664,0.7790337782130792,1.0,05025
"Doniphan County, Kansas, USA",0.0027914866499863297,0.1621837549933422,17.529448980902856,0.6117177097203729,2.760444768534579,0.0,63.240473182342775,0.0,84.38552608682818,0.07495816604816141,0.16861603350159704,0.6734402430971451,1.0,20043
"Marion County, Georgia, USA",0.0,0.0,28.107496135322886,0.06001600426780475,9.209826238465276,0.056148306214990666,42.711945290459525,0.0,63.670322169817254,0.03024421945845379,0.11547292366832129,0.9999456567090096,1.0,13197
"Adair County, Iowa, USA",0.008762054765453083,0.46718249733191036,11.86801712357352,0.519076840981857,4.000019227189811,0.0,71.91002915802484,0.0,70.44051611021165,0.2844509434125191,0.35995958734544786,0.9196378929539402,1.0,19001
"Harney County, Oregon, USA",0.0042704109708155006,0.7126084056037358,14.656415675645327,0.6462975316877919,4.975372991700697,0.0,186.75318705469405,0.0,184.50465130931428,0.271145941763708,0.5210376906103632,0.7993884277855575,0.9096627227411632,41025
"Nicholas County, Kentucky, USA",0.0019252647939348672,0.748663816141101,6.7491048442231225,0.2923570283270978,5.792679379311293,0.0,60.532585862574514,0.0,40.46871976367077,0.19178640038113592,0.2962365375124305,0.9940902834986203,1.0,21181
"Wheeler County, Georgia, USA",0.002394340208743948,0.338776602864409,10.48341040849104,0.12059965198768571,5.591127482613407,0.0,103.64683386388548,0.0,93.45815649499556,3.773362844405881e-09,0.0007164526793906889,0.9534770462719246,1.0,13309
"Kingman County, Kansas, USA",0.01000352893605268,0.515528781793842,11.823446249393573,0.5597054886211513,5.05424771817851,0.0,59.57474174487251,0.0,55.736261982210706,0.12524149228544235,0.33213797482383056,0.6874210402335885,1.0,20095
"Conejos County, Colorado, USA",0.00017164078758687376,0.47366304784881386,12.07687602779117,0.5237903766251173,4.545841138958842,0.6119823080016084,29.269404282470894,0.0008041817450743868,58.936412047289416,0.16632702933424526,0.2432253462349805,0.9435403395879367,0.9941464873706549,08021
