longname,Housing Units per Adult,Vacancy %,Renter %,Rent/Income < 20%,Rent/Income 20%-40%,Rent/Income > 40%,1BR Rent < $750 %,1BR Rent $750 - $1500 %,1BR Rent > $1500 %,2BR Rent < $750 %,2BR Rent $750 - $1500 %,2BR Rent > $1500 %,% units built pre-1970,% units built in 1970s,% units built in 1980s,% units built in 1990s,% units built in 2000s,% units built in 2010s+
"MA-SDD36, USA",0.5274466610393977,0.07663383598537582,0.2402434203094996,0.2045380452500489,0.41279259307556887,0.3826693616743822,0.38520286396181386,0.5295942720763723,0.08520286396181384,0.17546339930882815,0.549167452089224,0.27536914860194783,0.475097618370355,0.12637376845698328,0.1356442812443433,0.11344418297949367,0.09618318636704508,0.05325696258177963
"MA-SDD35, USA",0.502723019099486,0.04022526146419952,0.25991575991575994,0.2592855033953351,0.42308827871272514,0.3176262178919398,0.3198031980319803,0.47056756281848533,0.20962923914953435,0.07443167929601564,0.4274016132974823,0.4981667074065021,0.43964564119071275,0.1356276153555484,0.15732019649279946,0.1326886204917918,0.09158467804011028,0.04313324842903727
"MO-SD012, USA",0.5781742538267117,0.13854881687684958,0.2672326923112047,0.3987130570335545,0.38756185541442484,0.21372508755202083,0.9422777251140927,0.04551644209967764,0.012205832786229567,0.5968287044856865,0.40016890523393495,0.0030023902803786103,0.47623381115136865,0.16540265018828082,0.09036352366271372,0.10930304394821416,0.11003501414507086,0.04866195690435183
"MA-SDD29, USA",0.49458205929845056,0.060990010975423385,0.6861184549569631,0.21615994721872467,0.38952695598961146,0.3943130967916639,0.4191010483686991,0.26888626705416707,0.31201268457713377,0.286725613766776,0.24526604267725793,0.46800834355596604,0.6824296671634958,0.08013818733524486,0.05827487508623574,0.056357308571446496,0.06701143150251243,0.055788530341064735
"MA-SDD24, USA",0.49692727893479005,0.04460093896713615,0.37677777942903,0.19427385540637837,0.41175723179873785,0.3939689127948837,0.430916732335172,0.3263724717625427,0.24271079590228525,0.11961229119406062,0.38966797277789234,0.490719736028047,0.7243595759058803,0.08575784993649882,0.09468184463840679,0.03848678771856152,0.030819253492933574,0.025894688307719124
"MA-SDD07, USA",0.5243405325484669,0.062035524165919995,0.25372545611969277,0.3116882761447529,0.40099270911084306,0.2873190147444041,0.4952893674293405,0.46343651861821444,0.04127411395244504,0.16401349127902534,0.7093702304371668,0.12661627828380784,0.46677918036937927,0.11093846679594997,0.14324088756777087,0.12773941953893173,0.11346100920955343,0.03784103651841472
"MA-SDD17, USA",0.49150877681805516,0.05092048015192528,0.36221941385328277,0.2778555186286514,0.4404407906244534,0.2817036907468952,0.2310656391177252,0.08636726016476216,0.6825671007175126,0.08124437588378969,0.06170458927882761,0.8570510348373827,0.7442857142857143,0.07965714285714286,0.054528571428571426,0.0333,0.05127142857142857,0.036957142857142855
"MO-SD032, USA",0.5633057778880319,0.08762385855838352,0.32856294450801743,0.29277322539243755,0.410553855267055,0.29667291934050743,0.7934200459066565,0.19229788319306299,0.01428207090028054,0.436644032685004,0.554148923926804,0.009207043388191966,0.35049885678653087,0.129845666181667,0.1034348368322594,0.16285595510288922,0.14284971939305757,0.11051496570359592
"MO-SD026, USA",0.5632488397001071,0.10507967496165206,0.20512907460026378,0.32273595180269293,0.43835386401695564,0.23891018418035154,0.8498098859315589,0.11406844106463879,0.03612167300380228,0.48363072181439776,0.510055443653921,0.00631383453168119,0.2781612029731467,0.14624576623328123,0.12798299169893979,0.17886242799775567,0.18259484123845243,0.08615276985842414
"MA-SDD20, USA",0.49308166537653436,0.038644295866448006,0.22536564211775506,0.23333190084802066,0.4285597976824165,0.33810830146956283,0.32350707748335095,0.41474066477558097,0.2617522577410682,0.06494600414868035,0.3785615133149956,0.5564924825363241,0.45967512913497,0.11562507825438116,0.16025108536832963,0.12430148858137871,0.08208747289631088,0.058059745764629786
"MO-SD006, USA",0.7475800761958515,0.3128951888412827,0.25523925068966014,0.3963480128893663,0.38573324066468695,0.2179187464459468,0.9236204576043069,0.06527590847913863,0.01110363391655451,0.6221443406022845,0.37668743509865005,0.0011682242990654205,0.23369081627874302,0.1939212288671381,0.20763358778625954,0.16669320470191543,0.14789490938041494,0.050166252985528965
"MO-SD030, USA",0.6000121230897715,0.0912244073275862,0.542032017654174,0.26354662613749713,0.3837652218611228,0.3526881520013801,0.6542645103511017,0.32597099842251454,0.019764491226383754,0.351656191394194,0.6268188288798072,0.0215249797259989,0.3614890727477966,0.18630789656788058,0.13615836289398991,0.16007237343296052,0.09961913802765901,0.0563531563297133
"MO-SD022, USA",0.528110931028273,0.05180386005592307,0.21243260979146467,0.3591366338024213,0.4080909796823609,0.2327723865152179,0.6945638840756488,0.19238463847409856,0.1130514774502526,0.283791506430213,0.6952239271356481,0.020984566434138877,0.2641893272934439,0.15620156443767855,0.13984031293969829,0.19234197057813873,0.1711095367893863,0.07631728796165421
"MA-SDD27, USA",0.5104984855485395,0.05441723652453741,0.56446384996054,0.3132207864912369,0.4520044800691155,0.2347747334396476,0.20175229311571619,0.14378780456148935,0.6544599023227944,0.06075063943010542,0.13463554628887675,0.8046138142810179,0.7193243450274149,0.0749713238350054,0.060862414306777315,0.032169841614007114,0.03948712713610402,0.07318494808069112
"MO-SD005, USA",0.722647168072198,0.20323253091179075,0.6317656108114543,0.26976332121570684,0.3545800091431261,0.37565666964116695,0.5005153552598779,0.45970374017396437,0.03978090456615773,0.20124096340267567,0.6625681690594315,0.13619086753789295,0.8072043343470935,0.046380813986556746,0.03731621256103535,0.03377541990610946,0.047886629420101794,0.027436589779103224
"MA-SDD18, USA",0.5133606154400105,0.049569721330491784,0.3476384985388359,0.2643607505491004,0.41814148289298453,0.317497766557915,0.24414439939504579,0.239710009557785,0.5161455910471692,0.11283523821656107,0.20879838209261184,0.6783663796908271,0.6833070359334634,0.08602024626170672,0.07547144355644171,0.0599350888326746,0.05733577370708046,0.037930411708633024
"MO-SD009, USA",0.6276918157173693,0.13408054095361602,0.49729748898583565,0.23519515961564288,0.3915070415668262,0.3732977988175308,0.5554127186179888,0.4330363378477091,0.01155094353430202,0.22234830618769488,0.7429002070058706,0.03475148680643449,0.6631777464656132,0.15020363463194145,0.06947286581588615,0.05018589926179457,0.04006449953545777,0.02689535428930683
