longname,Within 10km of Hospital %,Mean distance to nearest Hospital
"Arlington County Public Schools, Virginia, USA",1.0,1.0
"Union County Public Schools, North Carolina, USA",0.5046691316884,1.0
"Norfolk City Public Schools, Virginia, USA",1.0,1.0
"Caddo Parish School District, Louisiana, USA",0.8493248075385974,1.0
"Scottsdale Unified District, Arizona, USA",1.0,1.0
"Adams-Arapahoe School District 28J, Colorado, USA",0.9453484893807957,1.0
"School District U-46, Illinois, USA",0.9969797462815271,1.0
"Campbell Union High School District, California, USA",1.0,1.0
"Clovis Unified School District, California, USA",0.9894302977988778,1.0
"Shawnee Mission Public Schools Unified School District, Kansas, USA",1.0,1.0
"Tacoma Public Schools, Washington, USA",1.0,1.0
"Fremont Unified School District, California, USA",0.974997830802603,1.0
"Berkeley County School District, South Carolina, USA",0.6176036822253449,1.0
"Gaston County Schools, North Carolina, USA",0.8010266309831966,1.0
"Killeen Independent School District, Texas, USA",0.9867427243437384,1.0
"Richmond City Public Schools, Virginia, USA",1.0,1.0
"Canyons School District, Utah, USA",0.9968181998965915,1.0
"Buncombe County Schools, North Carolina, USA",0.5474827464165635,1.0
"Fort Wayne Community Schools, Indiana, USA",0.9955598772750078,1.0
"New Hanover County Schools, North Carolina, USA",0.7819924376058046,1.0
"Orange Unified School District, California, USA",0.9924335651863742,1.0
"Whittier Union High School District, California, USA",1.0,1.0
"Poudre School District R-1, Colorado, USA",0.8911141075646374,1.0
"Saddleback Valley Unified School District, California, USA",0.8221070029660154,1.0
"Glendale Unified School District, California, USA",1.0,1.0
"Clay County School District, Florida, USA",0.8490091411028889,1.0
"Springfield R-XII School District, Missouri, USA",0.9980555721158035,1.0
"Leander Independent School District, Texas, USA",0.9113270894297011,1.0
"Humble Independent School District, Texas, USA",0.9286451666184912,1.0
"Montgomery County School District, Alabama, USA",0.9464678236716976,1.0
"Denton Independent School District, Texas, USA",0.978931724801119,1.0
"Stockton Unified School District, California, USA",0.9996177581283964,1.0
"Baldwin County School District, Alabama, USA",0.6310259095081483,1.0
"Calcasieu Parish School District, Louisiana, USA",0.7917568097423715,1.0
"Johnston County Schools, North Carolina, USA",0.3028717725545026,1.0
"Toledo City School District, Ohio, USA",0.9971120139291932,1.0
"Huntsville City School District, Alabama, USA",0.900527726587368,1.0
"Lake Washington School District, Washington, USA",1.0,1.0
"Clarksville-Montgomery County School System, Tennessee, USA",0.5013771256145364,1.0
"Des Moines Independent Community School District, Iowa, USA",0.9991112406891882,1.0
"Boise City Independent School District 1, Idaho, USA",0.9905793754771577,1.0
"Santa Rosa High School District, California, USA",0.9861679651393107,1.0
"Okaloosa County School District, Florida, USA",0.8772133718842716,1.0
"Yonkers City School District, New York, USA",1.0,1.0
"Gilbert Unified District, Arizona, USA",1.0,1.0
"Rochester City School District, New York, USA",1.0,1.0
"Williamson County School District, Tennessee, USA",0.4971170901217443,1.0
"Richmond County School District, Georgia, USA",0.9524701486396879,1.0
"Worcester School District, Massachusetts, USA",1.0,1.0
"Kansas City 33 School District, Missouri, USA",1.0,1.0
"Poway Unified School District, California, USA",0.99994621132105,1.0
"Pasadena Unified School District, California, USA",1.0,1.0
"Richland School District 1, South Carolina, USA",0.9308298448657966,1.0
"Anaheim Elementary School District, California, USA",1.0,1.0
"Bakersfield City School District, California, USA",0.9990308969918049,1.0
"Cabarrus County Schools, North Carolina, USA",0.6697023776974662,1.0
"Birmingham City School District, Alabama, USA",0.9930843362704174,1.0
"Spring Independent School District, Texas, USA",1.0,1.0
"Muscogee County School District, Georgia, USA",0.9871709555236442,1.0
"Salt Lake City School District, Utah, USA",1.0,1.0
"Tolleson Union High School District, Arizona, USA",0.99976961871898,1.0
"Yuma Union High School District, Arizona, USA",0.4903048202618476,1.0
"Freehold Regional School District, New Jersey, USA",0.9525948861164233,1.0
"Sumner County School District, Tennessee, USA",0.8328485632637675,1.0
"Dysart Unified District, Arizona, USA",0.9909203004147518,1.0
"Newport-Mesa Unified School District, California, USA",1.0,1.0
"Hernando County School District, Florida, USA",0.8506130632599028,1.0
"Roseville Joint Union High School District, California, USA",0.9529175112729078,1.0
"Irving Independent School District, Texas, USA",1.0,1.0
"Lamar Consolidated Independent School District, Texas, USA",0.8861009479461167,1.0
"Brownsville Independent School District, Texas, USA",0.9376637418388988,1.0
"Grand Rapids Public Schools, Michigan, USA",1.0,1.0
"St. Vrain Valley School District RE 1J, Colorado, USA",0.7101057020591786,1.0
"Utica Community Schools, Michigan, USA",0.9661109163863502,1.0
"Providence School District, Rhode Island, USA",1.0,1.0
