longname,White %,Hispanic %,Black %,Asian %,Native %,Hawaiian / PI %,Other / Mixed %,Racial Homogeneity %,Segregation %,Mean Local Segregation %
"Luxor Urban Center, Egypt",,,,,,,,,,
"Gwangju Urban Center, South Korea",,,,,,,,,,
"Haikou Urban Center, China",,,,,,,,,,
"San Antonio Urban Center, USA",0.2527088522045147,0.6204962924054579,0.06479471258630964,0.03002907681638199,0.002248098130190332,0.0012152454986783586,0.028507722358467023,0.5429472681999313,0.16156310537569046,0.058985577566690706
"Asuncion Urban Center, Paraguay",,,,,,,,,,
"Bogura Urban Center, Bangladesh",,,,,,,,,,
"Cordoba Urban Center, Argentina",,,,,,,,,,
"Sylhet Urban Center, Bangladesh",,,,,,,,,,
"Port Harcourt Urban Center, Nigeria",,,,,,,,,,
"Purwokerto Urban Center, Indonesia",,,,,,,,,,
"Manama Urban Center, Bahrain",,,,,,,,,,
"Tamluk Urban Center, India",,,,,,,,,,
"Liuzhou Urban Center, China",,,,,,,,,,
"Sincan Urban Center, Turkey",,,,,,,,,,
"Huai'an Urban Center, China",,,,,,,,,,
"Baltimore Urban Center, USA",0.38301264495246273,0.0837258862932922,0.4317680877448983,0.0522522680431947,0.0024619460986443596,0.0003366826317042568,0.046442484235803466,0.5505641795424592,0.31389033095901814,0.19941162027019563
"Erbil Urban Center, Iraq",,,,,,,,,,
"Durg Urban Center, India",,,,,,,,,,
"Garut Urban Center, Indonesia",,,,,,,,,,
"Tiruchirappalli Urban Center, India",,,,,,,,,,
"Novosibirsk Urban Center, Russia",,,,,,,,,,
"Leeds Urban Center, United Kingdom",,,,,,,,,,
"Gwalior Urban Center, India",,,,,,,,,,
"Pekalongan Urban Center, Indonesia",,,,,,,,,,
"Vijayawada Urban Center, India",,,,,,,,,,
"Medina Urban Center, Saudi Arabia",,,,,,,,,,
"Mansoura Urban Center, Egypt",,,,,,,,,,
"Tabriz Urban Center, Iran",,,,,,,,,,
"Yichang Urban Center, China",,,,,,,,,,
"Jabalpur Urban Center, India",,,,,,,,,,
"Yantai Urban Center, China",,,,,,,,,,
"León Urban Center, Mexico",,,,,,,,,,
"Copenhagen Urban Center, Denmark",,,,,,,,,,
"Ganzhou Urban Center, China",,,,,,,,,,
"Sha Tin Urban Center, China",,,,,,,,,,
"Taizhou (Zhejiang Sheng) Urban Center, China",,,,,,,,,,
"Kitakyushu Urban Center, Japan",,,,,,,,,,
"Muzaffarpur Urban Center, India",,,,,,,,,,
"Liverpool Urban Center, United Kingdom",,,,,,,,,,
"Managua Urban Center, Nicaragua",,,,,,,,,,
"Fez Urban Center, Morocco",,,,,,,,,,
"Amritsar Urban Center, India",,,,,,,,,,
"Salem Urban Center, India",,,,,,,,,,
"Orlando Urban Center, USA",0.37167730124321136,0.3514818190870861,0.17941002995044006,0.04396203724272112,0.0014852660686791933,0.0007192701590973505,0.05126427624876483,0.45695090032075786,0.22593753409740056,0.11486135000632378
"Belgrade Urban Center, Serbia",,,,,,,,,,
"Sendai Urban Center, Japan",,,,,,,,,,
"Xining Urban Center, China",,,,,,,,,,
"Panama City Urban Center, Panama",,,,,,,,,,
"Angeles [San Fernando] Urban Center, Philippines",,,,,,,,,,
"Ulaanbaatar Urban Center, Mongolia",,,,,,,,,,
"Bareilly Urban Center, India",,,,,,,,,,
"Yiwu Urban Center, China",,,,,,,,,,
"Mysuru Urban Center, India",,,,,,,,,,
"Montevideo Urban Center, Uruguay",,,,,,,,,,
"Jodhpur Urban Center, India",,,,,,,,,,
"Perth Urban Center, Australia",,,,,,,,,,
"Ceilândia Urban Center, Brazil",,,,,,,,,,
"Turin Urban Center, Italy",,,,,,,,,,
"Guwahati Urban Center, India",,,,,,,,,,
"Kigali Urban Center, Rwanda",,,,,,,,,,
"Bishkek Urban Center, Kyrgyzstan",,,,,,,,,,
"Rosario Urban Center, Argentina",,,,,,,,,,
"Columbus (Ohio) Urban Center, USA",0.5830329726835889,0.07050162804964372,0.227257342495757,0.0631473348314753,0.001657339892179341,0.0003376514753335427,0.05406573057202228,0.5420298911244525,0.23262868709948983,0.11724415140002621
"Srinagar (Jammu and Kashmīr) Urban Center, India",,,,,,,,,,
"Linyi (Southern Shandong Sheng) Urban Center, China",,,,,,,,,,
"Prague Urban Center, Czech Republic",,,,,,,,,,
"Cleveland Urban Center, USA",0.5643834744102202,0.06663107087807299,0.2960214358492045,0.029604919403297018,0.0014973090890090656,0.00021635054993860542,0.0416454398202576,0.6415274998302328,0.38914225641916533,0.14297013351110016
"Jember Urban Center, Indonesia",,,,,,,,,,
"Auckland Urban Center, New Zealand",,,,,,,,,,
"Dushanbe Urban Center, Tajikistan",,,,,,,,,,
"Mombasa Urban Center, Kenya",,,,,,,,,,
"Nouakchott Urban Center, Mauritania",,,,,,,,,,
"Amsterdam Urban Center, Netherlands",,,,,,,,,,
"Vila Velha Urban Center, Brazil",,,,,,,,,,
"Antalya Urban Center, Turkey",,,,,,,,,,
"Yueqing Urban Center, China",,,,,,,,,,
"São Luís Urban Center, Brazil",,,,,,,,,,
"Hargeisa Urban Center, Somalia",,,,,,,,,,
"Nizhny Novgorod Urban Center, Russia",,,,,,,,,,
"Yekaterinburg Urban Center, Russia",,,,,,,,,,
"San Pedro Sula Urban Center, Honduras",,,,,,,,,,
"Tangier Urban Center, Morocco",,,,,,,,,,
"Batam City Urban Center, Indonesia",,,,,,,,,,
"Takasaki [Maebashi] Urban Center, Japan",,,,,,,,,,
"Kananga Urban Center, Democratic Republic of the Congo",,,,,,,,,,
"Lyon Urban Center, France",,,,,,,,,,
"Calgary Urban Center, Canada",,,,,,,,,,
"Hiroshima Urban Center, Japan",,,,,,,,,,
"Zhongshan (Guangdong Sheng) Urban Center, China",,,,,,,,,,
"Berhampore Urban Center, India",,,,,,,,,,
"Tripoli Urban Center, Libya",,,,,,,,,,
"Torreon Urban Center, Mexico",,,,,,,,,,
"Jalandhar Urban Center, India",,,,,,,,,,
"Tiruppur Urban Center, India",,,,,,,,,,
"Oran Urban Center, Algeria",,,,,,,,,,
"Odesa Urban Center, Ukraine",,,,,,,,,,
"Kansas City Urban Center, USA",0.6074602435268335,0.14242419172917437,0.14842211200402913,0.04064445064703049,0.0033890186638162166,0.002433683446814243,0.05522629998230208,0.5490088877425435,0.2278926317760486,0.10715281558560917
"Kota Urban Center, India",,,,,,,,,,
"Abuja (Abuja Federal Capital Territory) Urban Center, Nigeria",,,,,,,,,,
"Tianjia‘an Urban Center, China",,,,,,,,,,
"Kazan Urban Center, Russia",,,,,,,,,,
"Cochabamba Urban Center, Bolivia",,,,,,,,,,
"Indianapolis Urban Center, USA",0.5507461144695267,0.12105257533280374,0.23104078426622876,0.047960430462986384,0.001695633743111488,0.0003891764420901892,0.04711528528325276,0.5357692289024629,0.2565043328000459,0.1235081350330295
"Tainan Urban Center, China",,,,,,,,,,
"Frankfurt am Main Urban Center, Germany",,,,,,,,,,
"Al-Zaqaziq‎ Urban Center, Egypt",,,,,,,,,,
"Bandar Lampung Urban Center, Indonesia",,,,,,,,,,
"Mardan Urban Center, Pakistan",,,,,,,,,,
"Jammu Urban Center, India",,,,,,,,,,
