longname,Housing Units per Adult,Vacancy %,Renter %,Rent/Income < 20%,Rent/Income 20%-40%,Rent/Income > 40%,1BR Rent < $750 %,1BR Rent $750 - $1500 %,1BR Rent > $1500 %,2BR Rent < $750 %,2BR Rent $750 - $1500 %,2BR Rent > $1500 %,% units built pre-1970,% units built in 1970s,% units built in 1980s,% units built in 1990s,% units built in 2000s,% units built in 2010s+
"Kimberling City [Urban Area], MO, USA",0.8413059984813971,0.348676293622142,0.16937135229517072,0.42195508557802,0.3990042825609569,0.17904063186102326,1.0,0.0,0.0,0.6296653202593665,0.3703346797406334,0.0,0.1154496137029727,0.21033335846074838,0.2044031766787099,0.2485871541898022,0.14812098739808624,0.07310570956968064
"Ely [Urban Area], NV, USA",0.6700236966824644,0.17285587975243147,0.3143514372287866,0.5543505641299887,0.33600108955227437,0.10964834631773694,0.7498751545413934,0.2501248454586065,0.0,0.18286114879801932,0.678960351473951,0.13817849972802976,0.5529535124094385,0.1013546606036581,0.14810704557431822,0.08101065072960385,0.09611575651123608,0.020458374171745442
"Perry [Urban Area], OK, USA",0.6626256652868125,0.15439535921463632,0.27328695627325217,0.374792763459173,0.29616458419406233,0.3290426523467646,0.5229178746694197,0.47708212533058025,0.0,0.8639325412035262,0.1040628593330778,0.032004599463395934,0.6136124472927176,0.15290288436017885,0.0718508908874424,0.06484612068429399,0.05692253595104092,0.03986512082432631
"Goodland [Urban Area], KS, USA",0.6583683263347331,0.1498861047835991,0.44610677896258444,0.36725881480035294,0.28958315065974155,0.34315803453990545,0.551310456203436,0.3207067593207664,0.1279827844757976,0.3788873249089245,0.48800097447302887,0.13311170061804647,0.5485177583978127,0.23891217525445382,0.09616022472233833,0.029903841133722776,0.03513841653433727,0.05136758395733512
"Weston [Urban Area], WV, USA",0.6694333142530051,0.17229585292860197,0.4027019102613713,0.2689674798402471,0.4075917368619605,0.3234407832977925,0.8969085328784137,0.07705584764732949,0.026035619474256918,0.5150964117486523,0.4849035882513477,0.0,0.6490144324123968,0.18878578558357625,0.06792459659016657,0.04284455875317218,0.033672101534642125,0.017758525126046226
"Dillon [Urban Area], MT, USA",0.6153631284916201,0.10576486609169315,0.43813914042070995,0.17400666794015157,0.34505443596457747,0.48093889609527096,0.6247810987232426,0.3752189012767574,0.0,0.6375360536881738,0.36246394631182616,0.0,0.49711095060659755,0.1825951310488976,0.12263895496922442,0.09249442356985488,0.034910614967936474,0.07024992483748924
"Black River Falls [Urban Area], WI, USA",0.625,0.08491879350348028,0.3882656375394291,0.33292979477530404,0.316130560587362,0.3509396446373339,0.746445876124191,0.25355412387580895,0.0,0.44228852093640797,0.5569464552864127,0.000765023777179331,0.5767303230990823,0.14081633895064233,0.06774862160969795,0.086810634376026,0.11101978936420508,0.016874292600346282
"Sullivan [Urban Area], IL, USA",0.5974216232053912,0.08239333006375674,0.22925296086058708,0.3867698292984727,0.45227792219833046,0.16095224850319687,0.7737789203084833,0.028277634961439584,0.19794344473007713,0.5185683045201941,0.46547263375119347,0.015959061728612348,0.5655894333996964,0.15899933774667818,0.07391597930255726,0.0999722060994742,0.08663421500017847,0.014888828451415538
"Bedford [Urban Area], PA, USA",0.6562077360021639,0.106760098928277,0.3273593671721737,0.3366605846211256,0.43424641473700293,0.22909300064187138,0.810446432103175,0.1487184132396158,0.04083515465720919,0.5023414616577943,0.4976585383422057,0.0,0.6841048981939398,0.10595691834424359,0.06512338808893631,0.07119398697202009,0.05899284549031712,0.014627962910542943
"Farmville [Urban Area], NC, USA",0.6696075448737451,0.1403907314856883,0.39882531158673307,0.2576587349275025,0.3525836813803314,0.389757583692166,0.5182612257968447,0.4817387742031553,0.0,0.5811324497062608,0.41886755029373923,0.0,0.3040669625152716,0.1624090864421856,0.14926516605991946,0.17762570489144244,0.18594057979297904,0.02069250029820186
"Millersburg [Urban Area], PA, USA",0.5997764114030184,0.08946877912395154,0.32815002484736205,0.414519030615595,0.3845068739560382,0.20097409542836686,0.8532240871732568,0.14677591282674327,0.0,0.7493154318684059,0.2506845681315941,0.0,0.6172723864560595,0.1454869671282755,0.10333552596376039,0.05873830696081338,0.06107490421406532,0.014091909277025834
"Coquille [Urban Area], OR, USA",0.5818286041845802,0.09556650246305419,0.2116755678012805,0.13896641853465477,0.5776852218641492,0.283348359601196,0.7688334651714671,0.2311665348285329,0.0,0.5877395991266957,0.41226040087330434,0.0,0.5347310865654131,0.21785595474784514,0.0456140172104057,0.11409832121867698,0.07423387094167372,0.01346674931598536
"South Paris [Urban Area], ME, USA",0.6291523482245132,0.08010923987255349,0.4485166281183277,0.11048902455452425,0.5025619833975182,0.3869489920479575,0.6334662497187962,0.3665337502812037,0.0,0.42935923917801405,0.5706407608219859,0.0,0.4167258696535479,0.09423639096883427,0.2294359168270314,0.12306459975755234,0.08914745100645197,0.047389771786582074
"Joshua Tree [Urban Area], CA, USA",0.7183499288762447,0.21702970297029703,0.45868169302564765,0.20702417854501956,0.3044313033747948,0.48854451808018556,0.0,1.0,0.0,0.08040910018070971,0.7308443791321301,0.18874652068716016,0.3311449290212127,0.13721714446784591,0.36238333385290505,0.05766887635301676,0.10311440484162682,0.008471311463392838
"Owego [Urban Area], NY, USA",0.6319246145059966,0.09173068233167646,0.49585018377170115,0.2904881788035629,0.28924019408447327,0.4202716271119638,0.5655673634789075,0.4344326365210926,0.0,0.3989998943326034,0.5698010852283133,0.031199020439083413,0.7105067579614356,0.03456750716382172,0.08774132972875008,0.05817746704384353,0.057881216163755037,0.051125721938394035
"Shinnston [Urban Area], WV, USA",0.5991228070175438,0.09321620302586628,0.19611281182276333,0.2812587009301269,0.40702581965069096,0.31171547941918215,0.7433905373404311,0.25660946265956885,0.0,0.38723698780632115,0.6127630121936787,0.0,0.6485441539996071,0.14252349411138324,0.07209318191250406,0.05436281716767634,0.02648587079955469,0.055990482009274534
"Charlestown [Urban Area], RI, USA",0.9567595728054181,0.43152736182956714,0.16310537216613735,0.22231023218969556,0.3418183517067699,0.4358714161035345,0.17448636775264684,0.685425274800525,0.14008835744682813,0.09350239512423944,0.7228364459849651,0.18366115889079537,0.338936423601482,0.2192313143413057,0.19885230415599683,0.10966040446626575,0.11179414246321026,0.021525410971739475
"Libby [Urban Area], MT, USA",0.6292458261370178,0.10064043915827996,0.347403345921335,0.38344389989536015,0.47995155212257684,0.13660454798206303,0.5450799571246193,0.45492004287538074,0.0,0.7383850320924047,0.2616149679075954,0.0,0.49665809283850954,0.18067202246407127,0.18537622688085206,0.057732678328096164,0.052066402595651276,0.027494576892819658
"Edenton [Urban Area], NC, USA",0.6864628820960699,0.20059372349448684,0.5578244602104421,0.27637523078027965,0.4669564183528453,0.2566683508668752,0.8757396449704142,0.1242603550295858,0.0,0.6746850898273988,0.2502843487045474,0.07503056146805372,0.46920528980074167,0.21726239740969547,0.15502781390333098,0.03774586142519561,0.06612884027053605,0.05462979719050034
"Dumas [Urban Area], AR, USA",0.6666666666666666,0.1244153414405987,0.4039672618855046,0.32028937087341375,0.47961733199303314,0.20009329713355295,1.0,0.0,0.0,0.9515673644001932,0.04843263559980678,0.0,0.3133424615557988,0.26598232337454436,0.17822112151072314,0.09028325925311266,0.12124836079598994,0.03092247350983114
"Monroeville [Urban Area], AL, USA",0.6727107887579329,0.16576819407008087,0.407756337807097,0.2762994006680018,0.46172794715536936,0.2619726521766289,0.862823992364521,0.13717600763547902,0.0,1.0,0.0,0.0,0.25240555805070186,0.2491667339807868,0.2296493795618098,0.1797984621777485,0.026824783601488714,0.06215508262746434
"Houlton [Urban Area], ME, USA",0.6096555784515749,0.11009174311926606,0.3550949619804424,0.29631216374983216,0.4196354902541003,0.28405234599606755,0.963221942695892,0.036778057304107936,0.0,0.7416507103577671,0.25834928964223286,0.0,0.673586577083435,0.10860357038674331,0.07224591713967946,0.0728225330687643,0.04662204993466719,0.026119352386710544
"Panther Valley [Urban Area], NJ, USA",0.5808516559977734,0.03785337805462386,0.1201038918163893,0.23862745242762767,0.5217987547933398,0.23957379277903249,0.0,0.422814079365516,0.577185920634484,0.0,0.617705369263601,0.38229463073639897,0.07178216617179592,0.2885751543180993,0.2678119843203486,0.07111507847775432,0.14397492600572287,0.156740690706279
"Holdenville [Urban Area], OK, USA",0.6382036685641999,0.21060455896927652,0.33258337141446487,0.2524866266702219,0.4153773332169836,0.3321360401127946,0.9349409694778057,0.0650590305221943,0.0,0.8993430316273513,0.036602533953690446,0.06405443441895828,0.6540821273320747,0.14156591890995282,0.09082323710554235,0.058512793215878274,0.03195733609297616,0.023058587343575604
"Horse Cave [Urban Area], KY, USA",0.6505553887721405,0.12367328103368712,0.4056027941559015,0.33220200960838575,0.4396550044165805,0.22814298597503382,1.0,0.0,0.0,0.7873018991161583,0.21269810088384167,0.0,0.3952611601646432,0.1541964074433433,0.11845443855272733,0.15378213108937663,0.12064247133921291,0.05766339141069668
"Lake of the Pines [Urban Area], CA, USA",0.5609284332688588,0.10591133004926108,0.10895491246324608,0.5680473372781065,0.1834319526627219,0.2485207100591716,,,,0.0,0.0,1.0,0.04462805710304191,0.4596517015633236,0.33057278028946036,0.05296380313640398,0.07374589973561049,0.038437758172159664
"Ridgway [Urban Area], PA, USA",0.6366357378030529,0.1151857075693465,0.29747381329273087,0.4901142765751854,0.26528462725917107,0.24460109616564357,1.0,0.0,0.0,0.5032032923433889,0.4967967076566111,0.0,0.8988754267105903,0.04228726014492896,0.027397540175499526,0.015402364052884926,0.011560255763645924,0.004477153152450318
"Fulton [Urban Area], KY-TN, USA",0.6797425681887833,0.13435527502254282,0.3768837435190138,0.2570347603694199,0.38359335960530966,0.3593718800252703,0.9642330694750455,0.03576693052495454,0.0,0.9072376896002242,0.09276231039977587,0.0,0.5439006279298134,0.2015838874295873,0.09367638944809947,0.05995111463551658,0.052242279242499266,0.0486457013144839
"Ashland [Urban Area], PA, USA",0.7544069315805199,0.2621782178217822,0.30854104389575704,0.26101469762097473,0.42345898408171373,0.31552631829731165,1.0,0.0,0.0,0.5548413825545122,0.4451586174454877,0.0,0.8606208627630455,0.04850969535547214,0.02008268247534985,0.05788044076083698,0.010325146575366796,0.002581172069928727
"Sidney [Urban Area], NY, USA",0.6893962150796035,0.16601307189542483,0.3624673944893997,0.270254292774281,0.2856353971592462,0.4441103100664729,0.6317564682776876,0.3682435317223124,0.0,0.8561889100783603,0.1438110899216397,0.0,0.7557641533800721,0.11181742061223728,0.0565917219465397,0.022795053854792285,0.03636995394566651,0.016661696260692176
"Mountain Grove [Urban Area], MO, USA",0.6805427073697194,0.15088355233348436,0.2871010520133271,0.22358481800922028,0.5891822404813125,0.18723294150946723,0.79295775282188,0.2070422471781201,0.0,0.9655090849742788,0.034490915025721214,0.0,0.4293365617832683,0.15319521894864044,0.17719361949181178,0.16892980953013284,0.05343155026319023,0.017913239982956387
"Glenwood [Urban Area], MN, USA",0.7425981873111782,0.17534580960130186,0.2811624633826664,0.2583311618714964,0.2678626717196646,0.47380616640883894,0.794605511710101,0.12802053758152937,0.07737395070836975,0.24278426420311383,0.4892651659108659,0.2679505698860203,0.5057169152220615,0.11780651847693341,0.06672908615440093,0.14093579749419827,0.1260425391839259,0.04276914346848014
"Burnt Store Marina [Urban Area], FL, USA",0.8116490166414524,0.3299161230195713,0.07675407762471176,0.03563513364852512,0.2262486841187478,0.738116182232727,0.0,1.0,0.0,0.0,0.4354344723634206,0.5645655276365794,0.00652086854815457,0.08413973770471943,0.14247091011512017,0.33787492490007803,0.40272901595304994,0.026264542778877836
"Burns [Urban Area], OR, USA",0.6308828052906797,0.10336421257922965,0.2842899576868568,0.232636047698436,0.49386202633632537,0.2735019259652386,0.6818737894448417,0.10689126617379888,0.21123494438135934,0.5691296927268871,0.430870307273113,0.0,0.49440927669129175,0.18326247229009446,0.04737255727085767,0.16434102650901244,0.07482786038016674,0.03578680685857688
"Falls City [Urban Area], NE, USA",0.6646781789638933,0.15446386395843173,0.28225586185046414,0.39304414998959913,0.5430747037068555,0.0638811463035454,1.0,0.0,0.0,0.8920135514432768,0.10798644855672325,0.0,0.6969270989751336,0.17360207784775467,0.03039470086906428,0.05147765301476459,0.005047381157840809,0.042551088135442
"Clay Center [Urban Area], KS, USA",0.643170426065163,0.138334145153434,0.35352642828677433,0.23228578960192975,0.6157356310150913,0.15197857938297904,1.0,0.0,0.0,0.47856892475452045,0.5214310752454796,0.0,0.6968495399971524,0.19133846388008952,0.014026123862993565,0.08773149133524001,0.00795971823191527,0.002094662692609281
"Lead [Urban Area], SD, USA",0.7700149925037482,0.21222741433021808,0.36730327741512186,0.3661883677679318,0.42729601456342725,0.20651561766864102,0.7657964366429226,0.0,0.23420356335707734,0.4881974392531148,0.5118025607468852,0.0,0.7145004285431797,0.08507206446985478,0.026214554529132277,0.08004549271265154,0.052487972147720455,0.04167948759746128
"Tiltonsville-Brilliant [Urban Area], OH, USA",0.6473053892215569,0.14153561517113783,0.3735266917696879,0.4930790501649508,0.3212393221324939,0.18568162770255522,0.941431367655709,0.05856863234429097,0.0,0.7918982288704999,0.20810177112950015,0.0,0.7276618202768711,0.1512773369926563,0.04586885754151723,0.05261175945742775,0.021667186880880096,0.0009130388506476988
"Medford [Urban Area], WI, USA",0.6415568110483365,0.07142857142857142,0.3813889655177481,0.3450975777052848,0.3605803575621127,0.29432206473260236,0.5858816292596888,0.4141183707403113,0.0,0.7315663681879779,0.25927270747496245,0.009160924337059563,0.5045083371065282,0.182383827698184,0.06948378622339872,0.12211768169771617,0.09871793932132414,0.022788427952848783
"Wadena [Urban Area], MN, USA",0.6649282920469362,0.10049019607843138,0.4206491249859123,0.38529833486287696,0.3374795170442098,0.2772221480929132,0.8642837423645385,0.13571625763546158,0.0,0.44838733762378785,0.5516126623762122,0.0,0.5885858422867366,0.12810382615953544,0.08391559011569044,0.08710303605674471,0.05263385466564558,0.0596578507156473
"Bandon [Urban Area], OR, USA",0.7010338083263481,0.19011558389796732,0.3371732369622116,0.13747897217290952,0.4305322644819231,0.43198876334516734,0.7051215726849457,0.23638027776672368,0.058498149548330616,0.692678045486761,0.3073219545132389,0.0,0.22240573630661473,0.249400811690406,0.10680884332687726,0.18859495102592497,0.17441575966421977,0.05837389798595734
"Perry [Urban Area], NY, USA",0.7322033898305085,0.20959595959595959,0.2910695519057904,0.2918285880514824,0.49536972711052296,0.21280168483799464,0.8936459126740436,0.06936136129953678,0.03699272602641961,0.5501779009062916,0.4498220990937085,0.0,0.7512360171488202,0.10035824568096287,0.03784845464955456,0.035124973809480785,0.03410714517187128,0.041325163539310344
"Russell [Urban Area], KS, USA",0.6789926681542875,0.1572769953051643,0.22859069026334083,0.1553537393435065,0.6867305835830515,0.15791567707344198,0.7358941166616719,0.26410588333832813,0.0,0.6498247606126926,0.3501752393873074,0.0,0.7011504528696916,0.19226484834482133,0.07082906804710125,0.027749404643178117,0.0,0.008006226095207802
"Irvine [Urban Area], KY, USA",0.6431760204081632,0.15964303420922163,0.41191417817610426,0.2759124855539099,0.4261550020567012,0.297932512389389,1.0,0.0,0.0,0.8198679410480229,0.18013205895197726,0.0,0.5246276042511296,0.18704349944705748,0.12823851632049257,0.08891305543519279,0.049127202881198664,0.02205012166492868
"Towanda [Urban Area], PA, USA",0.6631410256410256,0.14499758337361043,0.41702401380651116,0.19652776517024736,0.5898926804024204,0.2135795544273322,0.6862085925624698,0.260888889329136,0.052902518108394206,0.3013166118269281,0.698683388173072,0.0,0.681030925203697,0.13835108311269914,0.0396597433018486,0.06945858268327561,0.03975401948859452,0.03174564620988532
