longname,PW Density (r=250m),PW Density (r=500m),PW Density (r=2km),PW Density (r=4km)
"Miami OTSA, USA",99.77838299986838,24.944595749967096,4.920179077296143,5.414519284779042
"Teller ANVSA, USA",313.7384960111271,107.82651518004168,10.060957356377422,4.953697603735242
"Nanwalek ANVSA, USA",530.2656092624159,210.34226567983123,14.207639342934197,5.370593345356524
"Tanana ANVSA, USA",284.7087840519993,116.5997579829014,16.962940865554483,4.883015987748292
"Nulato ANVSA, USA",215.50245214906613,110.42023449257623,16.029033714198604,4.7372735179408245
"Modoc OTSA, USA",281.9050713896892,82.67860219675114,29.656781820690213,38.38767704915682
"Northway ANVSA, USA",216.48437651364912,54.12109412841228,5.330288347383852,1.493304556906831
"Nunam Iqua ANVSA, USA",1105.1719248301213,276.2929812075303,17.268311325470645,4.317077831367661
"Old Harbor ANVSA, USA",490.621637904616,122.655409476154,8.83309934160019,4.297183463481174
"Kalskag ANVSA, USA",652.1869275560415,167.08266101194448,16.915092454127546,7.812480732480231
"Shaktoolik ANVSA, USA",1079.707133935418,269.9267834838545,16.870423967740905,4.217605991935226
"Aleknagik ANVSA, USA",231.88648921840203,57.97162230460051,4.772008281852492,3.5471375083294996
"Grayling ANVSA, USA",269.05370493889325,89.57543349484426,16.71126902464901,4.177817256162252
"Mekoryuk ANVSA, USA",449.91093660369893,112.47773415092473,9.037837496548503,3.7872695681382083
"Venetie ANVSA, USA",595.4786077611144,148.8696519402786,16.313381666919273,4.078345416729818
"Cantwell ANVSA, USA",132.18423943616014,34.72647753229457,2.9120507227143997,1.8186683820697616
"Eastern Chickahominy TDSA, USA",450.5816627223399,112.64541568058497,25.576529209671914,38.56600524515255
"Kobuk ANVSA, USA",876.2287891003599,219.05719727508998,13.691074829693124,3.422768707423281
"Port Alsworth ANVSA, USA",563.4564161625846,141.13791899650317,9.171945349473258,3.469321057882202
"White Mountain ANVSA, USA",261.83310940488934,152.6579802257873,14.721832236000319,3.6804580590000797
"New Koliganek ANVSA, USA",226.9010275022029,74.50886494299922,8.779177994760314,2.1947944986900785
"Deering ANVSA, USA",926.9183885671983,231.7295971417996,14.483099821362474,3.6207749553406186
"Allakaket ANVSA, USA",149.47976124065923,45.44098420390974,7.13544661528664,3.2605407797689208
"Holy Cross ANVSA, USA",355.69682917919596,104.9409820223197,7.076064941443642,1.7690162353609105
"Golovin ANVSA, USA",555.8309043405,141.70792350175296,12.56732903494489,3.4815143801352106
"Port Lions ANVSA, USA",149.61313615076241,56.8613801389962,10.938625618151207,3.2725064916336484
"Manley Hot Springs ANVSA, USA",473.22320878050317,118.30580219512579,9.484787037574106,3.34613850398456
"Newhalen ANVSA, USA",245.00766667975205,73.72663268561703,11.214739382868197,4.058687886556266
"Wales ANVSA, USA",676.1508287088826,169.03770717722065,13.36901521971921,3.3422538049298023
"Port Graham ANVSA, USA",271.3729321025661,97.23777560162614,12.891550390443523,3.9191904736379226
"Tyonek ANVSA, USA",349.89571687740704,92.8832202044378,5.8170637430078145,2.7275054804871166
"Kaltag ANVSA, USA",251.5534533446382,113.96299773192831,7.416821810035604,2.720240024175084
"Kokhanok ANVSA, USA",459.7064882570114,114.92662206425285,7.182913879015803,3.0239439187460113
"Arctic Village ANVSA, USA",769.0366850200382,192.25917125500956,12.016198203438098,3.0040495508595244
"Minto ANVSA, USA",184.9083349500719,73.0160437587458,11.93662073189215,2.9841551829730375
"Tanacross ANVSA, USA",310.1753002035382,81.08060156403779,5.531739515103722,1.445933710416473
"Ruby ANVSA, USA",155.0970645428473,57.936979283812256,9.016299276094461,2.765317136221682
"Tetlin ANVSA, USA",194.62645366781345,49.4488513558997,3.090553209743731,1.1563785541130582
"Eyak ANVSA, USA",682.4563959780472,170.6140989945118,10.663381187156988,3.7202467947730535
"Nondalton ANVSA, USA",237.6841459901099,74.94881500550066,8.84626253238223,2.6459509289027605
"King Salmon ANVSA, USA",260.2297911111515,65.70934642469227,5.766501898105552,4.370235582360354
"Gulkana ANVSA, USA",200.814078278726,50.2035195696815,8.293156332185124,3.0186825983132213
"Pitkas Point ANVSA, USA",611.1549814728781,152.78874536821954,9.549296585513721,2.5862678252432993
"Ouzinkie ANVSA, USA",176.69975241172057,56.73469090014818,4.635724910227494,2.028888331745623
"Ekwok ANVSA, USA",398.3060355980521,99.57650889951303,8.311185834524064,2.2082748354000477
"Iliamna ANVSA, USA",84.88263631567752,21.22065907891938,4.537389534999497,2.3099571601532034
"Mentasta Lake ANVSA, USA",157.0328771840034,43.054359420118665,2.6908974637574166,1.1431893250327574
"Gakona ANVSA, USA",309.71849411557764,77.42962352889441,4.928597233037339,1.7447546565120866
"Chuathbaluk ANVSA, USA",175.41323266312895,43.85330816578224,6.705932313737359,2.085656664099681
"Twin Hills ANVSA, USA",185.96714282520185,66.96251081388715,8.19647956923261,2.0491198923081524
"Andreafsky ANVSA, USA",237.4716578337425,75.09616765810529,19.04710186590947,11.607388447653033
"Port Heiden ANVSA, USA",284.7982213663612,71.1995553415903,4.449972208849394,1.1124930522123484
"Shageluk ANVSA, USA",299.5678000852891,74.89195002132227,7.957747154594767,1.9894367886486917
"Koyukuk ANVSA, USA",187.40007340061211,56.17844685137595,5.947197975535926,1.9496480528757179
"Chignik ANVSA, USA",249.2366408819081,65.04132007688789,6.1597936568535125,1.7610660239517273
"Sleetmute ANVSA, USA",339.61989540620027,84.90497385155007,5.306560865721879,1.565791459865923
"Chilkat ANVSA, USA",170.4771915165833,64.0316274271651,6.6203322295806135,1.989436788648692
"Circle ANVSA, USA",124.63755895055856,31.830988618379067,1.9894367886486917,0.5826207738185454
"Crooked Creek ANVSA, USA",160.03206366715736,41.36613809784018,3.943505812165851,1.041580683123626
"Tatitlek ANVSA, USA",218.09178690708075,54.522946726770186,3.667637244139899,1.7904931097838224
