longname,Population,PW Density (r=1km),AW Density,Population [GHS-POP],PW Density (r=1km) [GHS-POP],AW Density [GHS-POP],Area,Compactness
"Historical Congressional District NY-1, 34th-37th Congress, USA",7698410.0,9871.96633807115,2056.6440274023757,,,,3743.1903126781754,0.008306503959327598
"Historical Congressional District TX-1, 32nd-36th Congress, USA",7550928.0,1327.159857476659,50.32824593628618,,,,150033.60159937252,0.12935244334401147
"Historical Congressional District TX-4, 44th-46th Congress, USA",7510396.0,1719.7993051564742,149.08813722182398,,,,50375.54388935382,0.13122863245275285
"Historical Congressional District TX-4, 47th Congress, USA",7510396.0,1719.7993051564742,149.08813722182398,,,,50375.54388935382,0.13122863245275285
"Historical Congressional District FL-1, 58th-62nd Congress, USA",7461824.0,992.7288321624969,128.65975801793996,,,,57996.564854097924,0.006252826717890975
"Historical Congressional District FL-1, 63rd Congress, USA",7461824.0,992.7288321624969,128.65975801793996,,,,57996.564854097924,0.006252826717890975
"Historical Congressional District FL-4, 75th-77th Congress, USA",7268194.0,2421.2026145563195,249.96202169337607,,,,29077.193210238005,0.010212237067344511
"Historical Congressional District FL-4, 78th Congress, USA",7268194.0,2421.2026145563195,249.96202169337607,,,,29077.193210238005,0.010212237067344511
"Historical Congressional District IL-2, 33rd-37th Congress, USA",7059700.0,3870.3494622579715,629.3437246883951,,,,11217.558423253438,0.1497106581895919
"Historical Congressional District TX-6, 44th-46th Congress, USA",7036980.0,1263.0333600270103,24.60341103405304,,,,286016.43854424375,0.042613504330039
"Historical Congressional District TX-6, 47th Congress, USA",7001044.0,1266.1962216627123,24.96252423587914,,,,280462.181382172,0.04211025853913275
"Historical Congressional District CA-9, 63rd-72nd Congress, USA",7000132.0,3958.498329271891,763.4323783283854,,,,9169.28885741985,0.3481121931743716
"Historical Congressional District FL-1, 64th-68th Congress, USA",6914544.0,1033.0315472932882,164.25812818196908,,,,42095.59719528706,0.012971661813307023
"Historical Congressional District FL-1, 69th-72nd Congress, USA",6914544.0,1033.0315472932882,164.25812818196906,,,,42095.59719528707,0.012971661813307021
"Historical Congressional District FL-1, 73rd-74th Congress, USA",6914544.0,1033.0315472932882,164.25812818196906,,,,42095.59719528707,0.012971661813307021
"Historical Congressional District TX-1, 29th-31st Congress, USA",6547641.0,1242.883327153753,43.95178236579627,,,,148973.27588460763,0.13042268921557912
"Historical Congressional District TX-1, 48th-49th Congress, USA",6539492.0,1740.9846407327602,155.70201009361335,,,,42000.04865748512,0.18434386304990616
