longname,Fair or poor self-rated health status %,Physical health not good for two weeks in last year %,Arthritis %,Current asthma %,High blood pressure %,Cancer (excluding skin cancer) %,Chronic kidney disease %,COPD %,Coronary heart disease %,Diagnosed diabetes %,Obesity %,Stroke %,Disability %,Hearing disability %,Vision disability %,Cognitive disability %,Mobility disability %,Self-care disability %,Independent living disability %,Binge drinking among adults %,Smoking %,No leisure-time physical activity %,Sleeping less than 7 hours %,Attended doctor in last year %,Attended dentist in last year %,Cholesterol screening in last year %,geoid
"Champaign County, Illinois, USA",0.13962476389180492,0.09755517833113109,0.1890936161281947,0.1055146850038878,0.26443909334452886,0.05114170195429708,0.022786144615498476,0.052181244675991424,0.04165158454833862,0.07878276194120967,0.30121328749028226,0.02244118591128487,0.3224606115973863,0.0594103097492615,0.04776326835471159,0.16350100616041766,0.11586379180503927,0.030577276823742946,0.08526684855742508,0.1739499265441168,0.14150661102949189,0.2772413920815829,0.31902414785002664,0.7558700077776834,0.6524839631609503,0.7475780545919186,17019
"Onslow County, North Carolina, USA",0.13289238262283498,0.096302399108709,0.18732757205983097,0.0991820221166658,0.25238605550997045,0.042749896492799574,0.021753381862527434,0.0532272340617731,0.04017925941539138,0.07903118766043621,0.33985219924571514,0.022226609254672878,0.2892288600657918,0.0563349568280877,0.04702685164971658,0.1588336281720259,0.10261834825091624,0.031116567927070637,0.07727161042148135,0.20031566308594503,0.15930353580596354,0.2050771824963677,0.37539958296007964,0.7408863980247063,0.6399802847012602,0.7786902085952373,37133
"Yuma County, Arizona, USA",0.2297632500035546,0.14148949248040182,0.22289315339413474,0.10249354751504587,0.31858778082893513,0.06413163211587371,0.038103737745969916,0.073719569454918,0.06814190487030981,0.13342073474382093,0.3943884296344761,0.03640508373290858,0.3247126972383095,0.08100369932985185,0.08316116984192519,0.1721974161603817,0.1607759984633549,0.0562667359105333,0.09923290838467226,0.1631781511887656,0.16001035812358658,0.30586952036765436,0.35607448458375773,0.6671092013715991,0.5232203662336569,0.7984269097790389,04027
"Anderson County, South Carolina, USA",0.1888489299645092,0.1339629265207149,0.2945514987525042,0.09755837930913212,0.3769959588150537,0.07086232561408373,0.03286827845521299,0.08156656710124126,0.06510575956706645,0.1253146993709806,0.36610776258916966,0.034835618652703834,0.3209587728854051,0.07411718733527825,0.06012714622061379,0.14878971781986874,0.15858696981410622,0.04641858945075007,0.09479602206838379,0.16314781600309297,0.19258195874477269,0.2839393119443382,0.33380457532417424,0.7941213339424359,0.6465736795867467,0.8490042450012367,45007
"Hall County, Georgia, USA",0.18438580683020245,0.12370168245658704,0.2275427331619224,0.09880052195532442,0.33441632114150704,0.058991846378355736,0.03011940886243069,0.06653499648683929,0.055016932663130166,0.10857703859844157,0.38821687398176213,0.02985015403859063,0.30723274883602436,0.06269638569101167,0.05963974272852904,0.15586253117447613,0.13797700616926514,0.04121349208187575,0.08460087404353213,0.165237111332453,0.16931450124697944,0.26604280651363194,0.3226550153266452,0.7551999027124692,0.57944319875225,0.8427722236377866,13139
"Trumbull County, Ohio, USA",0.20426108554983197,0.142613678441149,0.3379561832835351,0.10812431946913997,0.3960351584697454,0.07766690496703542,0.03573942160223392,0.10348314483163176,0.08365668860252139,0.14321527688669705,0.42033674897194684,0.0397918660140902,0.3346909855247806,0.07743436657928998,0.060130515278719716,0.15434911615004324,0.18060307101962006,0.04935946083014067,0.09916420117439285,0.14544391081455943,0.22301149952034463,0.31383844457072363,0.37093947781667946,0.7794915097855896,0.5647505361758324,0.833380021874755,39155
"Hawaii County, Hawaii, USA",0.156351886369369,0.10614920677186952,0.21474723211032348,0.09877280180508459,0.2837317669647119,0.06362328671132662,0.03134046444488037,0.05707307929478346,0.05644531490876464,0.10185825601928417,0.2681117947136802,0.03245702413319503,0.2686325503825995,0.06957486616027116,0.0537536438041312,0.12219534994534251,0.12170260952434322,0.040160523586624614,0.07159246853715297,0.1938001023068078,0.1372452490399987,0.2267337149984585,0.37281803402752467,0.6911774812904667,0.6501308616195273,0.7833585293045927,15001
"St. Louis County, Minnesota, USA",0.1486884753042246,0.10264489122653918,0.2610445115309217,0.09963747160063405,0.3077074600852764,0.07612796364881298,0.029948728642120757,0.0648437147925684,0.06259978214185635,0.09946865643770764,0.34116222962247994,0.03041034514954357,0.28703371821604795,0.07666665836730796,0.04313675889328039,0.1280490803274092,0.12450601599701383,0.035977647754504904,0.0729745728424263,0.19398740157480363,0.17810083719772182,0.23658326849459657,0.3121098876474391,0.6817132488873677,0.6334313466745459,0.8039849989107043,27137
"Broome County, New York, USA",0.1579390343724425,0.11630643397629306,0.28544321142707196,0.11970439449890972,0.33194238976262397,0.0733327897226338,0.031204241413138024,0.07927603551589886,0.06370952443436412,0.11140491499053432,0.3358843483857246,0.03157803937740953,0.3131755675108234,0.07117205591067267,0.05241778044376093,0.13943658812429252,0.14147817746702407,0.040432270480689286,0.08995068763629326,0.1609837541629966,0.18338700707943584,0.23638710080541894,0.33387956211220826,0.7553893814709975,0.6406746021332038,0.8296501771421076,36007
"Deschutes County, Oregon, USA",0.1347418027390044,0.10665120489860458,0.2606362753489604,0.10738298327627065,0.2810104111798775,0.07299992592836411,0.028472412430866394,0.06329420430603144,0.05709571701343162,0.08330758658151192,0.26276508592309544,0.028578779299446834,0.27138043191993727,0.07111999604951295,0.040519480840136894,0.12960011193047077,0.12000259250724267,0.03304473103766133,0.06842539340268648,0.1831274608243368,0.1307858671319463,0.17493744238872877,0.28843496510402944,0.6762799002501947,0.6981453532394014,0.8216348186067954,41017
"Racine County, Wisconsin, USA",0.15702715489659483,0.10906146441748696,0.2694760990619339,0.10811873544908698,0.3064074732127063,0.06940150989121696,0.03001978243406981,0.06021757954499027,0.05620366512818414,0.0968006167544828,0.361801420032949,0.03050948277035764,0.2595549701153185,0.06326033029721345,0.04781297907391532,0.12359169627905062,0.1160724107884381,0.0390085093057769,0.07283491946792972,0.21680775095644605,0.1554924709662488,0.23055492927064997,0.3280823156203626,0.7399760446023776,0.6862440536971228,0.7943791474356362,55101
"Minnehaha County, South Dakota, USA",0.11663839880225418,0.08760383751625236,0.21502131515700576,0.09058792009771052,0.2645408612741826,0.06426603364721674,0.025813758323154985,0.0527562349789211,0.050640833694495714,0.08205846893345331,0.35500961349040605,0.02511692210708788,0.2590251526732597,0.06419218312911218,0.03896621094519497,0.11477041093731535,0.10373858398014206,0.02997290886883892,0.05920613845002149,0.2222372246956381,0.1596948583586163,0.22629723809148516,0.27191826169181776,0.7387384894212239,0.707905322879316,0.7988823844608117,46099
"Sangamon County, Illinois, USA",0.15495845973089797,0.11511925734654664,0.2552121354937631,0.10296028516617974,0.32202779971987733,0.07099130429010439,0.029507232042695335,0.0703848747751394,0.05777142231279307,0.10107547345153309,0.34996311293138527,0.030853022588931887,0.32873266334327006,0.0757524045961137,0.048939116754840604,0.14474688846258538,0.15431058287808175,0.03892029153860958,0.08377978612536405,0.17311376112685822,0.166155108895512,0.25312947314618917,0.2906070866716669,0.7919657481961357,0.6439605374081463,0.8204413570617771,17167
"Sumner County, Tennessee, USA",0.1680568628758083,0.12459666022265184,0.2863280197986808,0.1045450386640887,0.32677989800680085,0.0678834244383709,0.028426163255783003,0.07870235317645488,0.05911340077328175,0.10412826644890312,0.35571195253649873,0.029168630424638346,0.3010419805346317,0.06693112959136051,0.04453487267515499,0.14620411972535155,0.14148087627491532,0.035071553563095687,0.07877738150789919,0.15118671255249688,0.1914537447503502,0.2577596243583771,0.3197373008466102,0.7641707886140918,0.6203672338510758,0.869599768348776,47165
"Hernando County, Florida, USA",0.17895230729346814,0.12323489349511144,0.2682640394241139,0.10427776663481089,0.3395216390932574,0.06957067636566827,0.03160970520185176,0.0757003391484768,0.06344030106626584,0.11329064190900318,0.35925843432693605,0.033198565310703185,0.30829869388896486,0.07226797181784421,0.05478410305238238,0.14369272355477777,0.14800279890634668,0.04237865245257511,0.08501597775377957,0.16555453666054376,0.1763018427856834,0.26107542037800385,0.33191550870813746,0.7343522688377649,0.5449129907796221,0.8355309634740603,12053
"Livingston County, Michigan, USA",0.12134362799673423,0.09708849550953728,0.2519177391820682,0.10363216803978305,0.29951066577599655,0.07044402137608564,0.02609570251614331,0.06022343947153572,0.052278720403770185,0.07961609144214375,0.31029321606175303,0.025626475172567158,0.2362814443702223,0.059218570474281786,0.03233040896608043,0.10339888666221332,0.10167474949899763,0.026950961181622615,0.059135062718028826,0.1946844281154899,0.14858547465300984,0.17653730423810546,0.3156220737771836,0.7298047947747358,0.7467225784903126,0.8761880650189268,26093
"Butler County, Pennsylvania, USA",0.13734771356431477,0.10862045868985808,0.2530193154720163,0.10116786365549023,0.3010050988918498,0.07456284892691818,0.028064749614251393,0.06456210548464071,0.05860007013606434,0.0859505891429371,0.32512340440454446,0.02868738953569922,0.2647598400897745,0.06839704025810112,0.038479941085706036,0.12139058072661002,0.11888840650862646,0.03076484079113477,0.06763107027633589,0.18273724224996604,0.15852542432318667,0.2207624561649606,0.3517011572450568,0.7580052391639772,0.7172358325150819,0.853483272548747,42019
"Ellis County, Texas, USA",0.16932944930209776,0.11244609259555562,0.22033215996686892,0.09716547290746985,0.31900570369045844,0.05941327284535094,0.027553408566829876,0.06595633759070851,0.05104597776878379,0.10123668432990986,0.3748266398110068,0.027797180155674867,0.28041797886057934,0.06033372236392575,0.04854996376368279,0.13796951443334884,0.12361192316018339,0.03669157717394363,0.07686651858405391,0.19236740802093213,0.16486487147872422,0.23299546340131877,0.3471819910209243,0.7123259103786461,0.5685420011859166,0.8326078665750574,48139
"El Dorado County, California, USA",0.14108517117877095,0.10951656741705522,0.24260262505093627,0.09818408956056007,0.294425634280079,0.074135949329082,0.028929676944303387,0.061390640749769576,0.05544582972913083,0.09152814852412361,0.2913060200310264,0.028781424476169302,0.24972584945990525,0.0644939628117785,0.03889510519505591,0.11385575087751908,0.11708786628825449,0.03247600494699123,0.06402845234946332,0.17123724827177064,0.11852012038632309,0.17610107732891062,0.30809787465238714,0.6283201103779589,0.7088303510791192,0.8707384885940339,06017
"Outagamie County, Wisconsin, USA",0.12236490991978602,0.09520363496155611,0.26304351671946175,0.1045011226950727,0.28321330450363247,0.06594670033491876,0.02594531681169705,0.05210522336717782,0.049309599231879615,0.07800440761769377,0.325410067210497,0.02530205411617042,0.21203981976396957,0.05734246357856184,0.034078029197631886,0.10666217084621714,0.09522410052090002,0.02876082436815315,0.05940891049436365,0.2519368039857569,0.14619591596041584,0.18941792229589224,0.2974606905519735,0.7322770902162934,0.7093493131525426,0.7980008165054993,55087
"Sarpy County, Nebraska, USA",0.10279054615534204,0.0786926572251985,0.21745511766473966,0.08233217525062353,0.2555822503933949,0.05402899626938248,0.021613341820046317,0.042784879506356226,0.03808995915769366,0.07536896868756521,0.3754180678583435,0.020296743223890044,0.20646554040913048,0.05153329266783363,0.0287299280397461,0.09184859173606293,0.08258948178008803,0.023772564932194654,0.04942841988012507,0.21809138245018456,0.13265002917307603,0.21506938771901907,0.31791307307413497,0.7098065825067625,0.729627601265935,0.805498205413817,31153
