longname,Population,PW Density (r=1km),AW Density,Population [GHS-POP],PW Density (r=1km) [GHS-POP],AW Density [GHS-POP],Area,Compactness
"Port Lions ANVSA, USA",170.0,22.907077338661736,0.8001522707670543,,,,212.45956077464103,0.11903793595332389
"Manley Hot Springs ANVSA, USA",169.0,29.99835240975878,4.333546553007809,,,,38.99808111734745,0.2125455619064797
"Newhalen ANVSA, USA",168.0,18.977332262005046,7.632478470189906,,,,22.01119867630887,0.3169292302574141
"Wales ANVSA, USA",168.0,53.47606087887684,29.035576886842815,,,,5.786005239528323,0.306107762854722
"Port Graham ANVSA, USA",162.0,26.34898502299156,9.642097527949241,,,,16.801323522233183,0.27354303953444753
"Tyonek ANVSA, USA",161.0,23.268254972031258,4.688679990843838,,,,34.33802270882306,0.17575559890409903
"Kaltag ANVSA, USA",158.0,29.667287240142418,2.2139205087282097,,,,71.36660931460604,0.4782669510704869
"Kokhanok ANVSA, USA",152.0,28.731655516063213,2.7825970435585177,,,,54.625228741569835,0.19232330393095057
"Arctic Village ANVSA, USA",151.0,48.06479281375239,3.7758175179006392,,,,39.9913394342098,0.0682855678969599
"Minto ANVSA, USA",150.0,36.614125174767494,19.077181767106055,,,,7.86279660335566,0.20812118152115308
"Tanacross ANVSA, USA",144.0,20.270150391009448,0.6888344264578922,,,,209.04878512021145,0.1556351859403161
"Ruby ANVSA, USA",139.0,23.84576147361016,7.636212187721544,,,,18.202741959358015,0.3379058310785743
"Tetlin ANVSA, USA",135.0,12.362212838974923,0.2687685862300443,,,,502.2908439323741,0.13152149326582227
"Eyak ANVSA, USA",134.0,42.65352474862795,3.581737097631716,,,,37.4120144352868,0.23786556524711674
"Nondalton ANVSA, USA",133.0,35.38505012952892,7.326338229411963,,,,18.153680028866894,0.3126275466735768
"King Salmon ANVSA, USA",125.0,16.610683100614928,4.7467607166849035,,,,26.333747888454532,0.1556531888990641
"Gulkana ANVSA, USA",121.0,12.550879892420374,10.763988677990815,,,,11.24118610858532,0.11998321917771246
"Pitkas Point ANVSA, USA",120.0,38.197186342054884,28.84189922389723,,,,4.160613663769162,0.23663089638316467
"Ouzinkie ANVSA, USA",118.0,15.866938563839465,3.593467029351201,,,,32.83736821186442,0.15256890247981775
"Ekwok ANVSA, USA",111.0,24.894127224878257,2.3797208964202197,,,,46.64412543797709,0.7080263025668101
"Iliamna ANVSA, USA",108.0,7.981325664682455,1.1064907492164482,,,,97.60587702742139,0.22732801217300336
"Mentasta Lake ANVSA, USA",108.0,10.763589855029663,1.0561570480199953,,,,102.25751956346868,0.2206335818395352
"Gakona ANVSA, USA",107.0,19.52399797218896,1.12899939853452,,,,94.77418689406716,0.06750498309110589
"Chuathbaluk ANVSA, USA",104.0,12.652817975805679,6.455886993538188,,,,16.109327828088603,0.1909158492697386
"Twin Hills ANVSA, USA",103.0,32.78591827693044,1.7423512195556679,,,,59.11552093743013,0.20355695633614085
"Andreafsky ANVSA, USA",102.0,37.32963586794612,1.398890055933426,,,,72.91495108379999,0.09797097296251976
"Port Heiden ANVSA, USA",100.0,17.799888835397574,0.8216357504341683,,,,121.70843338688472,0.44020686955096017
"Shageluk ANVSA, USA",100.0,31.830988618379067,3.3575087473322887,,,,29.783987928387404,0.48987941106225447
"Koyukuk ANVSA, USA",98.0,16.38321495827592,6.473311190633794,,,,15.139083710635722,0.30262743773345196
"Chignik ANVSA, USA",96.0,16.26033001922197,3.0683169170027775,,,,31.287511230676795,0.22963229419853098
"Sleetmute ANVSA, USA",95.0,21.226243462887517,1.3900009099129491,,,,68.34527900125585,0.5518619366191653
"Chilkat ANVSA, USA",93.0,24.79736693980176,17.50910285517552,,,,5.311522855810406,0.19214201817354318
