longname,PW Density (r=250m),PW Density (250m) [StatCan],PW Density (r=250m) (2010),PW Density (r=250m) Change (2010-2020),PW Density (r=250m) (2000),PW Density (r=250m) Change (2000-2020),PW Density (r=500m),PW Density (500m) [StatCan],PW Density (r=500m) (2010),PW Density (r=500m) Change (2010-2020),PW Density (r=500m) (2000),PW Density (r=500m) Change (2000-2020),PW Density (r=2km),PW Density (2km) [StatCan],PW Density (r=2km) [GHS-POP],PW Density (r=2km) (2010),PW Density (r=2km) Change (2010-2020),PW Density (r=2km) (2000),PW Density (r=2km) Change (2000-2020),PW Density (r=4km),PW Density (4km) [StatCan],PW Density (r=4km) [GHS-POP],PW Density (r=4km) (2010),PW Density (r=4km) Change (2010-2020),PW Density (r=4km) (2000),PW Density (r=4km) Change (2000-2020)
"Florida, USA",3109.8611476292176,,2899.013570870985,0.07273080018555596,3153.9481452430086,-0.013978352079214088,1867.2523667771388,,1740.3078661491968,0.0729437032936212,1789.6397998025675,0.043367702809880254,1257.8162917605032,,1248.5408,1163.574141758592,0.08099367854589504,1162.7855718841258,0.08172677936001031,1062.934756915123,,1101.8053,983.4081132930996,0.080868403002814,972.7154022695224,0.0927500011155394
"Minas Gerais, Brazil",,,,,,,,,,,,,,,2958.912,,,,,,,2301.2227,,,,
"Delhi, India",,,,,,,,,,,,,,,27346.727,,,,,,,24796.104,,,,
"Rajshahi, Bangladesh",,,,,,,,,,,,,,,3158.4,,,,,,,2181.1868,,,,
"New York, USA",12399.512153582762,,11571.105749495098,0.07159267420261983,11861.55424309573,0.045353070892894295,10749.232225803002,,9921.19415931603,0.08346153227022995,9920.759182789405,0.08350903673287798,7742.786686364118,,6924.2095,7029.855903924467,0.10141470780953736,6915.600124117408,0.11961168190768963,6578.255297262733,,6028.344,5919.263555928731,0.1113300219034775,5811.782663777412,0.13188253550196347
"YeDebub Bihēroch Bihēreseboch na Hizboch, Ethiopia",,,,,,,,,,,,,,,1678.2974,,,,,,,867.91,,,,
"Rangpur, Bangladesh",,,,,,,,,,,,,,,2943.119,,,,,,,1907.4945,,,,
"Nordrhein-Westfalen, Germany",,,,,,,,,,,,,,,2035.3324,,,,,,,1663.0956,,,,
"Buenos Aires, Argentina",,,,,,,,,,,,,,,5146.381,,,,,,,4739.1157,,,,
"Rio de Janeiro, Brazil",,,,,,,,,,,,,,,7035.3833,,,,,,,5887.7915,,,,
"Khulna, Bangladesh",,,,,,,,,,,,,,,3257.0073,,,,,,,2066.7837,,,,
"México, Mexico",,,,,,,,,,,,,,,6486.441,,,,,,,5658.1,,,,
"Tianjin Shi, China",,,,,,,,,,,,,,,12875.873,,,,,,,10805.387,,,,
"Gauteng, South Africa",,,,,,,,,,,,,,,5823.1343,,,,,,,4470.582,,,,
"Bahia, Brazil",,,,,,,,,,,,,,,4079.4124,,,,,,,3061.8264,,,,
"Jammu and Kashmīr, India",,,,,,,,,,,,,,,3654.9568,,,,,,,2463.1829,,,,
"İstanbul, Turkey",,,,,,,,,,,,,,,19377.125,,,,,,,16675.611,,,,
"Ontario, Canada",,5150.753499352113,,,,,,3837.058806001851,,,,,,2549.0751776665566,2485.5708,,,,,,2026.1386773558825,2061.36,,,,
"Kano, Nigeria",,,,,,,,,,,,,,,6496.747,,,,,,,5286.2075,,,,
"Sumatera Utara, Indonesia",,,,,,,,,,,,,,,4065.2827,,,,,,,3250.294,,,,
"Banten, Indonesia",,,,,,,,,,,,,,,7471.564,,,,,,,6977.643,,,,
"Gyeonggi-do, South Korea",,,,,,,,,,,,,,,7927.174,,,,,,,6512.222,,,,
"Tehrān, Iran",,,,,,,,,,,,,,,13379.252,,,,,,,10901.07,,,,
"Mymensingh, Bangladesh",,,,,,,,,,,,,,,3473.064,,,,,,,2129.6423,,,,
"Tôkyô, Japan",,,,,,,,,,,,,,,12565.471,,,,,,,12479.312,,,,
"Bayern, Germany",,,,,,,,,,,,,,,1653.6116,,,,,,,1336.5626,,,,
"Pennsylvania, USA",2906.283433510115,,2837.026689039318,0.024411735264375997,2896.6627805881562,0.00332128854847422,2213.1065975716924,,2109.433848850427,0.04914719121330301,2145.661846492729,0.03143307562149532,1522.8069403832494,,1414.2151,1426.716175526066,0.06735100260691462,1445.5717139890387,0.05342884455111603,1231.0894741260956,,1178.3584,1150.6735187695938,0.0698859876800589,1166.2564122593205,0.05559074418392932
"National Capital Region, Philippines",,,,,,,,,,,,,,,26440.47,,,,,,,22626.756,,,,
"Illinois, USA",3680.3004270110673,,3589.6165699528115,0.02526282551104002,4079.036401580366,-0.09775249233245727,3001.839539601713,,2896.9874840208936,0.036193478970537145,3193.5818742307465,-0.06003989945465835,2110.384535209054,,1997.4469,2040.3850737337416,0.03430698566482789,2256.262951766542,-0.06465488273132014,1802.9329497796916,,1769.4873,1745.7269718351722,0.032769143667627704,1928.841900887194,-0.0652769680343366
"Moskva, Russia",,,,,,,,,,,,,,,13775.324,,,,,,,11900.14,,,,
"Île-de-France, France",,,,,,,,,,,,,,,9190.231,,,,,,,8499.401,,,,
"Ohio, USA",1898.4137912934223,,1894.4904555232429,0.0020709187310715685,2124.6354216292925,-0.10647550541277831,1259.7029492986742,,1242.0282909835594,0.01423047964641634,1382.0978341692246,-0.08855732339970104,838.4759877890779,,812.0885,818.0903257790347,0.024918595621615094,908.0836554530825,-0.07665336474894968,690.0603368420723,,689.0625,668.9602575490939,0.031541603637686835,736.2054131210365,-0.06267962100867858
"Uttarākhand, India",,,,,,,,,,,,,,,3346.917,,,,,,,2307.4688,,,,
"Krung Thep Maha Nakhon, Thailand",,,,,,,,,,,,,,,11760.981,,,,,,,11532.961,,,,
"Paraná, Brazil",,,,,,,,,,,,,,,2309.6736,,,,,,,1844.4158,,,,
"Rio Grande do Sul, Brazil",,,,,,,,,,,,,,,2482.2673,,,,,,,1875.068,,,,
"Baden-Württemberg, Germany",,,,,,,,,,,,,,,1402.6663,,,,,,,1035.3663,,,,
"Lagos, Nigeria",,,,,,,,,,,,,,,17764.254,,,,,,,15509.139,,,,
"Kwazulu-Natal, South Africa",,,,,,,,,,,,,,,2059.7168,,,,,,,1698.9756,,,,
"Georgia, USA",2193.2623159124973,,2280.6911737851956,-0.03833436936908698,2340.0523384771463,-0.06272937581395152,1040.247551565224,,984.3458623799679,0.056790698596625486,994.3056716757934,0.04620498625136135,673.2581268911689,,676.50275,586.9905735767625,0.14696582398034874,578.060170348412,0.16468520307389203,591.2311006990507,,617.1839,512.3349084350378,0.1539933956579431,497.84400914961435,0.18758303772491758
"Hồ Chí Minh, Vietnam",,,,,,,,,,,,,,,22821.836,,,,,,,21582.033,,,,
"Kinshasa, Democratic Republic of the Congo",,,,,,,,,,,,,,,35978.613,,,,,,,31940.666,,,,
"Al Jīzah, Egypt",,,,,,,,,,,,,,,33925.523,,,,,,,28697.373,,,,
"North Carolina, USA",1674.157810930663,,1533.092833196928,0.09201333062106543,1668.676282685949,0.0032849560466519457,838.9096446851595,,742.145668878327,0.13038407399598625,736.1823258092971,0.13954059378284117,519.686567821439,,539.0033,447.28326455608027,0.16187349047637084,405.04716088849665,0.28302730645358315,443.13754099372613,,475.2954,377.63564257531675,0.17345263802885208,334.2101573191898,0.3259248149376395
"Al Qāhirah, Egypt",,,,,,,,,,,,,,,36808.004,,,,,,,33261.082,,,,
"Luanda, Angola",,,,,,,,,,,,,,,16064.42,,,,,,,14947.25,,,,
"Sylhet, Bangladesh",,,,,,,,,,,,,,,4649.083,,,,,,,3076.335,,,,
"Lombardia, Italy",,,,,,,,,,,,,,,2629.4626,,,,,,,2272.006,,,,
"Michigan, USA",1785.992201681406,,1747.2546544029651,0.0221705217272278,1994.3200894267652,-0.10446060732670034,1219.9472544399553,,1205.0140268081475,0.01239257577056015,1387.4371039559226,-0.1207188773014739,848.9112154866698,,786.2044,847.1387102418646,0.002092343583613508,986.7799666617952,-0.13971579869170367,729.6126836562498,,696.7288,731.4797877409035,-0.0025525026336270986,856.5273601486755,-0.14817352299218542
"Pernambuco, Brazil",,,,,,,,,,,,,,,4410.8726,,,,,,,3407.786,,,,
"Ar Riyāḑ, Saudi Arabia",,,,,,,,,,,,,,,6179.1323,,,,,,,5727.883,,,,
"Municipalidad Metropolitana de Lima, Peru",,,,,,,,,,,,,,,13214.147,,,,,,,12113.563,,,,
"Khorāsān-e Raẕavī, Iran",,,,,,,,,,,,,,,10928.505,,,,,,,6679.0264,,,,
"Seoul-teukbyeolsi, South Korea",,,,,,,,,,,,,,,20619.639,,,,,,,17848.68,,,,
"Makkah al Mukarramah, Saudi Arabia",,,,,,,,,,,,,,,6575.254,,,,,,,5688.7285,,,,
"Hainan Sheng, China",,,,,,,,,,,,,,,3300.3433,,,,,,,2291.7004,,,,
"Kanagawa, Japan",,,,,,,,,,,,,,,7596.48,,,,,,,7283.137,,,,
"Ceará, Brazil",,,,,,,,,,,,,,,3934.7654,,,,,,,3245.9172,,,,
"New Jersey, USA",4516.358645403927,,4179.142954932725,0.0806901544425944,4247.008559093564,0.06342113102966053,3621.7126217980303,,3296.2305584902147,0.09874371878188566,3323.00526540434,0.08989072617594655,2488.9975305230355,,2255.094,2225.256774800993,0.11852149320863399,2226.7425230165422,0.11777518271453291,2146.2875943963236,,1993.7126,1904.6916661389516,0.12684253968891307,1881.5444536383645,0.14070522768995553
"Azerbaijan, Azerbaijan",,,,,,,,,,,,,,,3071.0298,,,,,,,2136.8403,,,,
"Sulawesi Selatan, Indonesia",,,,,,,,,,,,,,,3257.8447,,,,,,,2537.7366,,,,
"Distrito Capital de Bogotá, Colombia",,,,,,,,,,,,,,,21886.8,,,,,,,20390.377,,,,
"Fārs, Iran",,,,,,,,,,,,,,,17549.918,,,,,,,6511.746,,,,
"Rivers, Nigeria",,,,,,,,,,,,,,,6353.223,,,,,,,4025.252,,,,
"Kaduna, Nigeria",,,,,,,,,,,,,,,2679.6726,,,,,,,1959.0627,,,,
"Virginia, USA",2798.6758103969323,,2808.4418245377087,-0.003477378116024877,3042.4579676677145,-0.08012671328953823,1668.1853728547653,,1575.675755384573,0.05871107501277357,1538.9858132149895,0.08395110502667588,1066.8704117436037,,1054.1882,973.0289446073311,0.09644262655942114,899.3662170194392,0.18624692761896788,887.7691370563866,,904.20276,804.6987894567654,0.10323160502788896,746.7722938659414,0.18880834807156976
"Katsina, Nigeria",,,,,,,,,,,,,,,2332.2534,,,,,,,1252.8044,,,,
"Veracruz de Ignacio de la Llave, Mexico",,,,,,,,,,,,,,,2074.4453,,,,,,,1421.994,,,,
"Pará, Brazil",,,,,,,,,,,,,,,3365.5017,,,,,,,2337.3052,,,,
"Quebec, Canada",,4243.086547519125,,,,,,3356.3791402515767,,,,,,2289.984994802768,2196.0825,,,,,,1873.7378177452983,1839.8428,,,,
"Lampung, Indonesia",,,,,,,,,,,,,,,1892.7822,,,,,,,1467.8014,,,,
"Ôsaka, Japan",,,,,,,,,,,,,,,8085.574,,,,,,,7843.1304,,,,
"Moskovskaya oblast', Russia",,,,,,,,,,,,,,,2556.1511,,,,,,,1932.313,,,,
"Yangon, Myanmar",,,,,,,,,,,,,,,10028.7705,,,,,,,8109.65,,,,
"Balochistan, Pakistan",,,,,,,,,,,,,,,2205.3071,,,,,,,1352.8381,,,,
"Oyo, Nigeria",,,,,,,,,,,,,,,6673.072,,,,,,,5510.2246,,,,
"Catalunya, Spain",,,,,,,,,,,,,,,9116.205,,,,,,,7076.081,,,,
"Ash Sharqīyah, Egypt",,,,,,,,,,,,,,,6120.9043,,,,,,,4083.145,,,,
"Andalucía, Spain",,,,,,,,,,,,,,,3024.3237,,,,,,,1948.5884,,,,
"New South Wales, Australia",,,,,,,,,,,,,,,2215.7778,,,,,,,1904.7625,,,,
"Jalisco, Mexico",,,,,,,,,,,,,,,4823.9453,,,,,,,3987.2595,,,,
"Sumatera Selatan, Indonesia",,,,,,,,,,,,,,,3962.266,,,,,,,3325.2935,,,,
"Auvergne-Rhône-Alpes, France",,,,,,,,,,,,,,,1990.7734,,,,,,,1558.2725,,,,
