longname,PW Density (r=250m),PW Density (r=500m),PW Density (r=2km),PW Density (r=4km)
"Desert View Neighborhood, Phoenix City, Arizona, USA",2301.9983076583994,1490.160065334942,724.555002327232,573.9571016156744
"North Hills Neighborhood, Los Angeles City, California, USA",8473.028050578372,7341.811706509143,5385.213850307984,4132.973725259724
"Winnetka Heights Neighborhood, Dallas City, Texas, USA",3967.2765058901,2753.8113211601744,1807.2593914891995,1553.9565062479253
"Briargate Neighborhood, Colorado Springs City, Colorado, USA",2655.7026036641378,1817.8837270602296,1356.6472307381387,1177.3612254989266
"Downtown Neighborhood, Los Angeles City, California, USA",14817.420509922307,11049.909121015025,7350.997305562351,6872.455987226432
"Lake Highlands Neighborhood, Dallas City, Texas, USA",7002.570812993087,5337.910875091966,2878.860256726618,2395.1161810933713
"South Austin Neighborhood, Chicago City, Illinois, USA",7601.989212735015,7132.619857894891,5496.498345934363,5438.338465394863
"Mott Haven Neighborhood, New York City, New York, USA",27849.51334502951,23583.151038188334,16621.344152014677,17569.72742545385
"Rogers Park Neighborhood, Chicago City, Illinois, USA",12879.107488304606,11300.82343363473,7295.022064785204,4774.925948437177
"Raleigh Neighborhood, Memphis City, Tennessee, USA",1906.344127045321,1330.473694828066,934.5829765821251,867.5491353351108
"Richmond Hill Neighborhood, New York City, New York, USA",15295.130423332033,14140.262131703448,12944.074415989575,11177.374655176647
"The Heights Neighborhood, Jersey City City, New Jersey, USA",15597.024288196702,14223.095672013129,10993.471424130805,7348.247822955407
"Valley Glen Neighborhood, Los Angeles City, California, USA",6035.520847833708,5416.200054325698,4828.761687810001,4698.479770254413
"Queens Village Neighborhood, New York City, New York, USA",9185.96725365142,8544.513191136513,7272.058962661145,6337.9639625668215
"Chelsea Neighborhood, New York City, New York, USA",29097.428693546794,30451.62687246574,20693.85403923297,17972.09390691716
"Memorial Neighborhood, Houston City, Texas, USA",3447.574381571511,2591.439909235902,1891.257027687189,1780.0263497229007
"Archer Heights Neighborhood, Chicago City, Illinois, USA",6152.873920743677,5396.8794559016615,5013.871466702695,4775.915789815249
"Hoover Neighborhood, Fresno City, California, USA",3679.5894530883957,2695.4380150166535,2199.5215541038942,2078.370965710231
"University Heights Neighborhood, New York City, New York, USA",35233.87307131441,33518.66903609153,26217.23961476624,17692.770960080597
"Little Havana Neighborhood, Miami City, Florida, USA",11155.28690685246,9562.31242157619,7216.42126300614,5013.547751955804
"Flagami Neighborhood, Miami City, Florida, USA",7086.316397220791,5344.212465428441,3641.813222469398,3210.972592456592
"Lone Mountain Neighborhood, Las Vegas City, Nevada, USA",3522.293961285007,2810.661036362875,1871.2083398709283,1552.738755058965
"Flatlands Neighborhood, New York City, New York, USA",12582.252098895708,12654.790391001587,12014.767126088465,12672.434755328613
"Albany Park Neighborhood, Chicago City, Illinois, USA",11667.91438496317,10916.152847369975,7490.670666068288,6317.044141476611
"Central City Neighborhood, Los Angeles City, California, USA",8745.803521472031,7950.949740715363,6293.094693018883,6144.436338134808
"Canoga Park Neighborhood, Los Angeles City, California, USA",8832.829431840735,6555.344390795018,4210.022818245033,3239.5149864572777
"Bedford Park Neighborhood, New York City, New York, USA",35553.55817503876,29421.9144868183,20322.25214729586,15304.532436439498
"Michael Way Neighborhood, Las Vegas City, Nevada, USA",4854.459789893083,4188.244130688985,3253.01480441863,2714.29703104092
"Greenville Neighborhood, Jersey City City, New Jersey, USA",12817.527877153529,11982.825141771007,6433.513927453117,3666.513495947438
"Southwest Neighborhood, Arlington City, Texas, USA",2247.0493539536524,1718.2191711485364,1409.0174854859692,1290.9128355846756
"Woodlake - Briarmeadow Neighborhood, Houston City, Texas, USA",7017.870252254599,4807.438000726398,3757.413713096296,3199.8497442339467
"University City Neighborhood, San Diego City, California, USA",8307.500741918524,6088.241609990228,3063.707849431706,1700.4364031306575
"Carmel Valley Neighborhood, San Diego City, California, USA",4374.188527158068,2772.4213781356,1545.7092357043925,1086.4077156675464
"Wilmington Neighborhood, Los Angeles City, California, USA",6945.840056906537,6009.78312133357,3252.534347070995,2186.557691552813
"Granada Hills Neighborhood, Los Angeles City, California, USA",3232.81988378156,2605.8011248800763,2147.215232534747,2048.6604346174013
"Oxford Circle Neighborhood, Philadelphia City, Pennsylvania, USA",10792.151493215404,9653.488627104733,7587.110279677044,5617.686157468456
"Downtown Neighborhood, Memphis City, Tennessee, USA",2593.1140193255105,1699.2439382072341,1072.9178532337187,902.7560104069802
"Northeast Anaheim Neighborhood, Anaheim City, California, USA",5182.371106328993,4047.054776337917,2791.470973558066,2553.620823958929
"Woodside Neighborhood, New York City, New York, USA",24667.566360125165,21286.95109195467,17712.427875694626,14273.96311560519
"Rancho Penasquitos Neighborhood, San Diego City, California, USA",3926.2564971659854,2360.5580577717856,1627.6281911905062,1522.5760046606642
"West Neighborhood, Fresno City, California, USA",3670.010895080127,2551.2373694131948,1646.8442111721233,1477.0335337550266
"North Highlands Neighborhood, Sacramento City, California, USA",3643.9657178081848,3186.7537913053166,2580.6539468200026,2099.438329076532
"Bayside Neighborhood, New York City, New York, USA",7408.200040463809,6434.710370061825,5574.9924167463605,5363.667939293254
"Lower Valley Neighborhood, El Paso City, Texas, USA",3046.351449623192,2225.512514733695,1468.9148537064461,1319.653197514754
"Brighton Neighborhood, Boston City, Massachusetts, USA",9779.616997929767,8293.817280175219,5712.601420306579,4407.5506567483035
"North Neighborhood, Arlington City, Texas, USA",4350.302562696859,2702.6557951893606,1596.7933290117135,1216.9683896494655
"Winnetka Neighborhood, Los Angeles City, California, USA",5765.104683678632,5297.0015025450175,4292.78667504234,3716.4241568019565
"Coney Island Neighborhood, New York City, New York, USA",17987.71257063821,14715.677978211404,6508.50048239514,6472.8090916843985
"Highland Park Neighborhood, Los Angeles City, California, USA",6786.1435085942885,5643.159740977096,4133.041595584869,3363.830448196904
"Fordham Neighborhood, New York City, New York, USA",41636.57532820597,38642.47304376008,24009.7866766836,18870.814586211472
"Encino Neighborhood, Los Angeles City, California, USA",4931.390516391963,3990.403352282529,2488.915143760018,2053.088459047822
"Almaden Valley Neighborhood, San Jose City, California, USA",2693.5002093959415,2231.644207491418,1743.3822850458491,1581.4265051358786
"Greenwich Village Neighborhood, New York City, New York, USA",38859.13129185869,36670.111291515015,27266.869560098272,17065.93102214548
"Greater Heights Neighborhood, Houston City, Texas, USA",3310.534302785448,2694.669764584369,2313.507126602349,2202.6506261691816
"Mid City West Neighborhood, Los Angeles City, California, USA",8059.8350502330795,7031.166419386336,5392.910095419232,4958.586642245431
"Southwest Anaheim Neighborhood, Anaheim City, California, USA",5398.144562702794,4489.703301323106,3950.846587934628,4010.8581641070487
"Golfcrest - Bellfort - Reveille Neighborhood, Houston City, Texas, USA",3589.5946638840687,2895.35353550285,1991.6275823829694,1706.0446700164273
"Valencia Neighborhood, Santa Clarita City, California, USA",4371.9303485319915,2534.8519576003955,1851.223805877031,1341.8142605582307
"Hamilton Heights Neighborhood, New York City, New York, USA",46051.73196824775,36437.58709254328,19103.55001939932,18088.03731254918
"Sunnyside Neighborhood (Queens), New York City, New York, USA",31349.54262347791,23947.81155599161,11082.284263438827,13476.93221153825
"Gresham Neighborhood, Chicago City, Illinois, USA",5803.908301632603,5033.125486148727,3958.6563907113955,3558.761082563549
"Downtown Neighborhood, Jersey City City, New Jersey, USA",18824.008846565946,16388.906294571163,9352.422991318861,8645.183000064804
"Brighton Park Neighborhood, Chicago City, Illinois, USA",9612.057040976046,8358.219602845826,5134.972617266957,4920.316143336815
"South Shore Neighborhood, Chicago City, Illinois, USA",9477.214826005236,7573.442210976713,4457.458203517238,3091.9150988432957
"Rego Park Neighborhood, New York City, New York, USA",28250.539437775744,24981.793190135442,16788.523203911285,13922.078111237408
"Alameda - West Flagler Neighborhood, Miami City, Florida, USA",5614.719809151919,5135.300503432986,4771.256761379418,3890.658936280904
"Valley High-North Laguna Neighborhood, Sacramento City, California, USA",4245.592969682567,3652.759314198907,2730.891957899581,2396.05223181846
"Salem Neighborhood, Virginia Beach City, Virginia, USA",3410.057813474891,2340.165317901964,1761.3367953628829,1532.2459761645848
"Brickell Neighborhood, Miami City, Florida, USA",22977.48752758749,17145.944693674985,6016.535213672547,3365.2436373566807
"Gateway - Green Valley Ranch Neighborhood, Denver City, Colorado, USA",3946.473532947956,2678.6555069832607,1676.3040413758504,1063.398090500798
"Jamaica Plain Neighborhood, Boston City, Massachusetts, USA",7496.264407726377,6687.691860961557,5321.10125982162,5777.111390285332
"Parkchester Neighborhood, New York City, New York, USA",39913.56436807312,33494.65276822613,17228.558680899758,13276.283602177746
"Powers Neighborhood, Colorado Springs City, Colorado, USA",2944.630475434368,2444.3619669442724,1750.2001601523318,1416.1451279670273
"Fort Greene Neighborhood, New York City, New York, USA",24753.063706425826,20599.87232088764,18566.575464036527,18000.826470810207
